symbol,year,market_cap
ABCB,2016,3004515065.6
ABCB,2017,3321505187.2000003
ABCB,2018,2182408076.32
ABCB,2019,2931469515.84
ABCB,2020,2623437810.72
ABCB,2021,3458186447.04
ABCB,2022,3270057017.0
ABCB,2023,3663279740.05
ACNB,2016,327074012.8125
ACNB,2017,309281186.5155
ACNB,2018,410804960.0925
ACNB,2019,395838053.2662
ACNB,2020,261659210.25000003
ACNB,2021,271485563.68
ACNB,2022,338986927.20000005
ACNB,2023,380972636.28
ALRS,2016,
ALRS,2017,
ALRS,2018,
ALRS,2019,579606245.0
ALRS,2020,694259209.0
ALRS,2021,742707696.0
ALRS,2022,592289095.0
ALRS,2023,567938023.0
AMTB,2016,
AMTB,2017,
AMTB,2018,545803326.0
AMTB,2019,914147154.0
AMTB,2020,637679520.0
AMTB,2021,1449462329.9999998
AMTB,2022,1126007784.0
AMTB,2023,1030775382.0
AROW,2016,542651119.0516
AROW,2017,468535590.2864
AROW,2018,455157045.8032
AROW,2019,553437861.392
AROW,2020,451056148.114
AROW,2021,565115143.0334799
AROW,2022,561100620.940994
AROW,2023,473373058.84
ASB,2016,4095507000.0
ASB,2017,4211574000.0
ASB,2018,3281379900.0
ASB,2019,3654452400.0
ASB,2020,2827060500.0
ASB,2021,3373650260.19
ASB,2022,3473752398.71
ASB,2023,3230674456.86
ATLO,2016,291659412.78012
ATLO,2017,246142866.72104
ATLO,2018,226633535.2
ATLO,2019,250170613.6
ATLO,2020,214151751.2
ATLO,2021,222667169.83
ATLO,2022,212305062.87
ATLO,2023,191892843.78
AUB,2016,5091806320.0
AUB,2017,5153067560.0
AUB,2018,4021871640.0
AUB,2019,5349673400.0
AUB,2020,4692895920.0
AUB,2021,5312631720.0
AUB,2022,5006325520.0
AUB,2023,5205780720.0
AUBN,2016,109387747.0
AUBN,2017,137442158.0
AUBN,2018,110610542.0
AUBN,2019,185166100.0
AUBN,2020,145652353.0
AUBN,2021,111599374.5
AUBN,2022,81192500.10000001
AUBN,2023,74344105.92
BAC,2016,166454546585.6
BAC,2017,222341095710.72
BAC,2018,185585521623.04
BAC,2019,265272811345.92
BAC,2020,228291280860.16
BAC,2021,359382721788.87
BAC,2022,264853285472.16
BAC,2023,265840059580.55
BANC,2016,2552879000.0
BANC,2017,3038441000.0
BANC,2018,1958433400.0
BANC,2019,2527865200.0
BANC,2020,2164429400.0
