ticker,year,sigma_E,method,days_used,flag,size_bucket
ABCB,2016,0.2391603397935335,daily_252,252,,small
ABCB,2017,0.2546242451305512,daily_252,252,,small
ABCB,2018,0.2596273294476337,daily_252,251,,small
ABCB,2019,0.2863224626172957,daily_252,251,,small
ABCB,2020,0.25470125808134,daily_252,252,,small
ABCB,2021,0.7376649048422735,daily_252,253,,small
ABCB,2022,0.3412052307217205,daily_252,252,,small
ABCB,2023,0.31900237585005514,daily_252,251,,small
ACNB,2016,0.21756663172245136,daily_252,252,,
ACNB,2017,0.2171167858289585,daily_252,252,,
ACNB,2018,0.20470528040491545,daily_252,251,,
ACNB,2019,0.2903463279511778,daily_252,251,,small
ACNB,2020,0.24199777856851876,daily_252,252,,small
ACNB,2021,0.8653598329847328,daily_252,253,,small
ACNB,2022,0.2871137941908202,daily_252,252,,small
ACNB,2023,0.2820453516864416,daily_252,251,,small
ALRS,2016,0.23018716131709951,daily_252,252,,
ALRS,2017,0.18763195156762177,daily_252,252,,
ALRS,2018,0.1632766108253354,daily_252,251,,
ALRS,2019,0.1677466986688781,daily_252,251,,
ALRS,2020,0.17513702692190325,daily_252,252,,small
ALRS,2021,0.4561830221955594,daily_252,253,,small
ALRS,2022,0.4050453207978267,daily_252,252,,small
ALRS,2023,0.29927458552262876,daily_252,251,,small
AMTB,2016,,imputed_peer,0,no_daily_data,
AMTB,2017,,imputed_peer,0,no_daily_data,
AMTB,2018,,imputed_peer,0,no_daily_data,
AMTB,2019,,imputed_peer,0,no_daily_data,
AMTB,2020,0.23780468310986325,imputed_peer,0,no_daily_data,small
AMTB,2021,0.6550777488618563,imputed_peer,0,no_daily_data,small
AMTB,2022,0.29782618194732896,imputed_peer,0,no_daily_data,small
AMTB,2023,0.2671130394526987,imputed_peer,0,no_daily_data,small
AROW,2016,0.1716350138724475,daily_252,252,,
AROW,2017,0.23948216672228934,daily_252,252,,small
AROW,2018,0.23664359243799332,daily_252,251,,small
AROW,2019,0.23255438309637202,daily_252,251,,small
AROW,2020,0.22107674997530255,daily_252,252,,small
AROW,2021,0.5816109351339804,daily_252,253,,small
AROW,2022,0.24618053276663923,daily_252,252,,small
AROW,2023,0.2520166545618777,daily_252,251,,
