Index,Date,Instrument,Total Return
1,1/31/13,ABCB.N,6.164931946
2,2/28/13,ABCB.N,4.67571644
3,3/31/13,ABCB.N,3.386167147
4,4/30/13,ABCB.N,-3.344947735
5,5/31/13,ABCB.N,19.10598414
6,6/30/13,ABCB.N,1.997578692
7,7/31/13,ABCB.N,14.24332344
8,8/31/13,ABCB.N,-0.467532468
9,9/30/13,ABCB.N,-4.070981211
10,10/31/13,ABCB.N,-0.435255713
11,11/30/13,ABCB.N,11.8579235
12,12/31/13,ABCB.N,3.126526624
13,1/31/14,ABCB.N,-3.031738513
14,2/28/14,ABCB.N,2.784562775
15,3/31/14,ABCB.N,10.74144487
16,4/30/14,ABCB.N,-8.712446352
17,5/31/14,ABCB.N,-1.222378937
18,6/30/14,ABCB.N,2.617801047
19,7/31/14,ABCB.N,1.298701299
20,8/31/14,ABCB.N,4.807692308
21,9/30/14,ABCB.N,-4.106596767
22,10/31/14,ABCB.N,12.98405467
23,11/30/14,ABCB.N,1.411290323
24,12/31/14,ABCB.N,1.948310139
25,1/31/15,ABCB.N,-5.889235569
26,2/28/15,ABCB.N,8.454206382
27,3/31/15,ABCB.N,0.840657241
28,4/30/15,ABCB.N,-5.305039788
29,5/31/15,ABCB.N,0.800320128
30,6/30/15,ABCB.N,0.39698293
31,7/31/15,ABCB.N,6.801107157
32,8/31/15,ABCB.N,0.962606442
33,9/30/15,ABCB.N,5.427209388
34,10/31/15,ABCB.N,9.565217391
35,11/30/15,ABCB.N,8.53968254
36,12/31/15,ABCB.N,-0.584966364
37,1/31/16,ABCB.N,-14.88673139
38,2/29/16,ABCB.N,-6.705841687
39,3/31/16,ABCB.N,9.596146721
40,4/30/16,ABCB.N,6.15280595
41,5/31/16,ABCB.N,1.369426752
42,6/30/16,ABCB.N,-6.691800189
43,7/31/16,ABCB.N,11.64983165
44,8/31/16,ABCB.N,5.006031363
45,9/30/16,ABCB.N,0.37334865
46,10/31/16,ABCB.N,3.862660944
47,11/30/16,ABCB.N,23.55371901
48,12/31/16,ABCB.N,-2.787068004
49,1/31/17,ABCB.N,3.440366972
50,2/28/17,ABCB.N,7.095343681
51,3/31/17,ABCB.N,-4.554865424
52,4/30/17,ABCB.N,2.169197397
53,5/31/17,ABCB.N,-7.961783439
54,6/30/17,ABCB.N,11.18800461
55,7/31/17,ABCB.N,-4.979253112
56,8/31/17,ABCB.N,-3.820960699
57,9/30/17,ABCB.N,8.96708286
58,10/31/17,ABCB.N,-0.208333333
59,11/30/17,ABCB.N,3.549060543
60,12/31/17,ABCB.N,-2.822580645
61,1/31/18,ABCB.N,11.09958506
62,2/28/18,ABCB.N,-0.746965453
63,3/31/18,ABCB.N,-0.470366886
64,4/30/18,ABCB.N,-2.268431002
65,5/31/18,ABCB.N,7.736943907
66,6/30/18,ABCB.N,-4.041658355
67,7/31/18,ABCB.N,-12.65229616
68,8/31/18,ABCB.N,6.545064378
69,9/30/18,ABCB.N,-7.752501506
70,10/31/18,ABCB.N,-6.148796499
71,11/30/18,ABCB.N,-0.139892749
72,12/31/18,ABCB.N,-25.82131321
73,1/31/19,ABCB.N,19.82949163
74,2/28/19,ABCB.N,7.43083004
75,3/31/19,ABCB.N,-15.5038582
76,4/30/19,ABCB.N,6.142649199
77,5/31/19,ABCB.N,-3.20899616
78,6/30/19,ABCB.N,11.33647496
79,7/31/19,ABCB.N,1.47996938
80,8/31/19,ABCB.N,-11.51621825
81,9/30/19,ABCB.N,14.77671351
82,10/31/19,ABCB.N,6.486083499
83,11/30/19,ABCB.N,1.86697783
84,12/31/19,ABCB.N,-2.200118631
85,1/31/20,ABCB.N,-5.524212506
86,2/29/20,ABCB.N,-14.95396865
87,3/31/20,ABCB.N,-30.03910523
88,4/30/20,ABCB.N,7.028619529
89,5/31/20,ABCB.N,-4.71883602
90,6/30/20,ABCB.N,-2.017259807
91,7/31/20,ABCB.N,-2.183128444
92,8/31/20,ABCB.N,6.262188516
93,9/30/20,ABCB.N,-6.483964885
94,10/31/20,ABCB.N,28.62159789
