Index,Date,Instrument,Total Return
1,2013,ABCB.N,21.49805447
2,2014,ABCB.N,69.01521217
3,2015,ABCB.N,21.45902416
4,2016,ABCB.N,32.56630265
5,2017,ABCB.N,28.27302148
6,2018,ABCB.N,10.55045872
7,2019,ABCB.N,-33.8177797
8,2020,ABCB.N,36.03614093
9,2021,ABCB.N,-8.397569049
10,2022,ABCB.N,32.01805442
11,2023,ABCB.N,-3.818172612
12,2024,ABCB.N,14.26806883
13,2013,ACNB.O,21.57247589
14,2014,ACNB.O,16.64085725
15,2015,ACNB.O,25.27289137
16,2016,ACNB.O,1.794160477
17,2017,ACNB.O,51.30315102
18,2018,ACNB.O,-2.713102658
19,2019,ACNB.O,36.46885334
20,2020,ACNB.O,-0.996234131
21,2021,ACNB.O,-31.27785863
22,2022,ACNB.O,29.69712821
23,2023,ACNB.O,31.13754198
24,2024,ACNB.O,16.2526847
25,2013,ALRS.O,21.56862745
26,2014,ALRS.O,64.51612903
27,2015,ALRS.O,16.17658676
28,2016,ALRS.O,-4.303797465
29,2017,ALRS.O,-10.05291006
30,2018,ALRS.O,20.29411765
31,2019,ALRS.O,-5.86797066
32,2020,ALRS.O,20.23648085
33,2021,ALRS.O,23.28364174
34,2022,ALRS.O,9.229789975
35,2023,ALRS.O,-17.89574248
36,2024,ALRS.O,-0.220015824
37,2013,AMTB.N,NaN
38,2014,AMTB.N,NaN
39,2015,AMTB.N,NaN
40,2016,AMTB.N,NaN
41,2017,AMTB.N,NaN
42,2018,AMTB.N,NaN
43,2019,AMTB.N,NaN
44,2020,AMTB.N,NaN
45,2021,AMTB.N,NaN
46,2022,AMTB.N,NaN
47,2023,AMTB.N,NaN
48,2024,AMTB.N,31.03046553
49,2013,AROW.OQ,13.13568009
50,2014,AROW.OQ,12.90586143
51,2015,AROW.OQ,9.686685903
52,2016,AROW.OQ,4.610542189
53,2017,AROW.OQ,58.57362763
54,2018,AROW.OQ,-11.0791881
55,2019,AROW.OQ,-0.052403511
56,2020,AROW.OQ,25.3906086
57,2021,AROW.OQ,-15.62259616
58,2022,AROW.OQ,24.97015933
59,2023,AROW.OQ,2.33104778
60,2024,AROW.OQ,-10.7619443
61,2013,ASB.N,19.56305017
62,2014,ASB.N,35.40889595
63,2015,ASB.N,9.331439728
64,2016,ASB.N,2.818298966
65,2017,ASB.N,34.79947287
66,2018,ASB.N,4.964417551
67,2019,ASB.N,-20.17217494
68,2020,ASB.N,15.10337333
69,2021,ASB.N,-18.81031125
70,2022,ASB.N,37.27184199
71,2023,ASB.N,5.982660928
72,2024,ASB.N,-2.857939305
73,2013,ATLO.OQ,15.40792049
74,2014,ATLO.OQ,5.240738942
75,2015,ATLO.OQ,19.48261918
76,2016,ATLO.OQ,-3.388445379
77,2017,ATLO.OQ,40.25904069
78,2018,ATLO.OQ,-13.19479019
79,2019,ATLO.OQ,-4.963042326
80,2020,ATLO.OQ,14.31095346
81,2021,ATLO.OQ,-10.29630999
82,2022,ATLO.OQ,6.402553629
83,2023,ATLO.OQ,0.972709471
84,2024,ATLO.OQ,-4.521332151
85,2013,AUB.N,NaN
86,2014,AUB.N,NaN
87,2015,AUB.N,NaN
88,2016,AUB.N,NaN
89,2017,AUB.N,NaN
90,2018,AUB.N,NaN
91,2019,AUB.N,NaN
92,2020,AUB.N,NaN
93,2021,AUB.N,NaN
94,2022,AUB.N,NaN
95,2023,AUB.N,NaN
96,2024,AUB.N,7.140505585
97,2013,AUBN.OQ,16.14582952
98,2014,AUBN.OQ,24.51550434
99,2015,AUBN.OQ,-4.311445282
100,2016,AUBN.OQ,29.758136
101,2017,AUBN.OQ,8.255301002
102,2018,AUBN.OQ,29.02241259
103,2019,AUBN.OQ,-17.58081756
104,2020,AUBN.OQ,72.0176902
105,2021,AUBN.OQ,-19.59618287
106,2022,AUBN.OQ,-21.83055285
107,2023,AUBN.OQ,-23.99861569
108,2024,AUBN.OQ,-3.544201789
109,2013,BAC.N,109.6483613
110,2014,BAC.N,34.6255148
111,2015,BAC.N,15.7324578
112,2016,BAC.N,-4.781414339
113,2017,BAC.N,33.33255563
114,2018,BAC.N,35.66708892
115,2019,BAC.N,-14.97513627
116,2020,BAC.N,46.16404135
117,2021,BAC.N,-11.62148459
118,2022,BAC.N,49.57577602
119,2023,BAC.N,-23.80989108
120,2024,BAC.N,4.820859828
121,2013,BANC.N,24.65627359
122,2014,BANC.N,13.4405785
123,2015,BANC.N,-10.90676535
124,2016,BANC.N,32.28143858
125,2017,BANC.N,21.95310731
126,2018,BANC.N,22.07145192
127,2019,BANC.N,-33.65504072
128,2020,BANC.N,31.78500467
129,2021,BANC.N,-12.65122051
130,2022,BANC.N,35.08740044
131,2023,BANC.N,-17.66854602
132,2024,BANC.N,-13.11893297
133,2013,BANF.OQ,15.86663937
134,2014,BANF.OQ,35.58908984
135,2015,BANF.OQ,15.48609011
136,2016,BANF.OQ,-5.445871822
137,2017,BANF.OQ,62.24098281
138,2018,BANF.OQ,11.70497713
139,2019,BANF.OQ,-0.627157949
140,2020,BANF.OQ,27.90882948
141,2021,BANF.OQ,-2.957207409
142,2022,BANF.OQ,22.77226807
143,2023,BANF.OQ,27.11609944
144,2024,BANF.OQ,12.43344716
145,2013,BANR.OQ,79.51882547
146,2014,BANR.OQ,48.06636969
147,2015,BANR.OQ,-2.302705777
148,2016,BANR.OQ,8.254520821
149,2017,BANR.OQ,23.59865082
150,2018,BANR.OQ,2.251525995
151,2019,BANR.OQ,0.053472114
152,2020,BANR.OQ,9.022634951
153,2021,BANR.OQ,-12.53900743
154,2022,BANR.OQ,34.27158059
155,2023,BANR.OQ,7.174391523
156,2024,BANR.OQ,-11.95387091
157,2013,BCBP.OQ,-3.024817146
158,2014,BCBP.OQ,50.77707118
159,2015,BCBP.OQ,-9.109433066
160,2016,BCBP.OQ,-7.929447226
161,2017,BCBP.OQ,31.67429181
162,2018,BCBP.OQ,15.87958826
163,2019,BCBP.OQ,-24.88790044
164,2020,BCBP.OQ,37.70338252
165,2021,BCBP.OQ,-15.0353124
166,2022,BCBP.OQ,45.5110394
167,2023,BCBP.OQ,20.64828852
168,2024,BCBP.OQ,-24.77620082
169,2013,BCML.OQ,NaN
170,2014,BCML.OQ,NaN
171,2015,BCML.OQ,NaN
172,2016,BCML.OQ,NaN
173,2017,BCML.OQ,NaN
174,2018,BCML.OQ,NaN
175,2019,BCML.OQ,0.391304348
176,2020,BCML.OQ,-1.515807707
177,2021,BCML.OQ,-33.28935795
178,2022,BCML.OQ,23.66512854
179,2023,BCML.OQ,2.184594179
180,2024,BCML.OQ,26.88463819
181,2013,BFC.OQ,NaN
182,2014,BFC.OQ,NaN
183,2015,BFC.OQ,NaN
184,2016,BFC.OQ,NaN
185,2017,BFC.OQ,NaN
186,2018,BFC.OQ,NaN
187,2019,BFC.OQ,-7.732057416
188,2020,BFC.OQ,46.98842631
189,2021,BFC.OQ,-6.147429464
190,2022,BFC.OQ,13.29311764
191,2023,BFC.OQ,30.01359719
192,2024,BFC.OQ,-5.321775617
193,2013,BFIN.OQ,34.99057412
194,2014,BFIN.OQ,24.02273126
195,2015,BFIN.OQ,30.44633358
196,2016,BFIN.OQ,8.258279327
197,2017,BFIN.OQ,19.34224259
198,2018,BFIN.OQ,5.454592144
199,2019,BFIN.OQ,-0.192808954
200,2020,BFIN.OQ,-9.975974973
201,2021,BFIN.OQ,-29.73039873
202,2022,BFIN.OQ,26.15676732
203,2023,BFIN.OQ,2.638281897
204,2024,BFIN.OQ,2.047766851
205,2013,BFST.OQ,NaN
206,2014,BFST.OQ,NaN
207,2015,BFST.OQ,NaN
208,2016,BFST.OQ,NaN
