instrument,year,rit_rf,rit,new_wacc,unnamed:_5,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,rf,ticker_prefix,date,Month,symbol,market_cap,equity_volatility,equity_vol_is_default,equity_vol,asset_value,asset_vol,solver_status,DDm,PDm
ABCB,2016,0.36482797,0.36682797,1.954161782,,8.819529648,1.360975371,1.246731645,21.15270351,39.29607554,55.73947668,39.55706507,39.55706507,18.2821119,40.15431986,66.39093137,43.81727795,43.81727795,8.838121096,0.091417755,2.355335889,10.106,31.68618,2.387100586,11.82728389,88.17271611,6892.031,630.054,0.134137684,0.0,0.0,0.002,ABCB,,,ABCB,3004515065.6,0.3045147774355881,False,0.3045147774355881,3633310216.8682623,0.2518142423452182,converged,6.839917650550536,3.961935847689131e-12
ABCB,2017,0.236120629,0.244120629,1.822848914,,7.884872134,1.1911948,1.116321358,22.15799615,41.65562543,68.93388241,45.47738788,45.47738788,21.15270351,39.29607554,55.73947668,39.55706507,39.55706507,8.96905869,0.046681839,2.232416978,13.139,31.49383,2.336282666,8.91751312,91.08248688,7856.203,366.742,0.097905903,0.0,0.0,0.008,ABCB,,,ABCB,3321505187.2000003,0.2185429910415509,False,0.2185429910415509,3685324955.7111735,0.19696817431506605,converged,11.656995642470632,1.0568478444193286e-31
ABCB,2018,-0.368210621,-0.350110621,2.026303985,,10.82817279,1.392523336,1.317869321,21.58687943,37.66456892,55.87830335,38.79781539,38.79781539,22.15799615,41.65562543,68.93388241,45.47738788,45.47738788,9.345178473,0.022837826,1.032942789,12.229,31.10399,3.410669159,7.59749613,92.40250387,11443.515,261.345,0.082221756,0.0,0.0,0.0181,ABCB,,,ABCB,2182408076.32,0.3233038168146218,False,0.3233038168146218,2439065284.3175516,0.2892834278759547,converged,7.638827970741243,1.0960397872457982e-14
ABCB,2019,0.012035141,0.033435141,1.604610381,,9.426956555,1.47480426,1.350583811,20.28455285,37.26774721,52.9672079,37.55299746,37.55299746,21.58687943,37.66456892,55.87830335,38.79781539,38.79781539,9.811513646,0.084796344,1.197244334,12.94,29.85871,2.245540802,11.59273148,88.40726852,18242.579,1546.904,0.131128715,0.0,0.0,0.021400000000000002,ABCB,,,ABCB,2931469515.84,0.3181401826369912,False,0.3181401826369912,4445621453.779221,0.20978356726402816,converged,5.029276582320291,2.461668949629801e-07
ABCB,2020,-0.210822953,-0.206422953,1.690197883,,7.940022067,1.467601924,1.191658665,54.42843622,49.6656972,74.30557249,56.3975123,56.3975123,20.28455285,37.26774721,52.9672079,37.55299746,37.55299746,9.925182408,0.027454912,1.000134556,15.27,28.0153,2.564961458,24.33887537,75.66112463,20438.638,561.141,0.321682707,0.0,0.0,0.0044,ABCB,,,ABCB,2623437810.72,0.5521408681769385,False,0.5521408681769385,3182106013.953656,0.4552156400180592,converged,3.5941552332107403,0.0001627228848995515
ABCB,2021,0.218588798,0.218988798,1.839579046,,1.594365379,1.290137658,1.165590842,53.38414502,59.17687046,66.63859379,58.53741293,58.53741293,54.42843622,49.6656972,74.30557249,56.3975123,56.3975123,10.07988832,0.036551273,1.165765572,13.78,23.69886,2.159195174,12.28386328,87.71613672,23858.321,872.052,0.140041089,0.0,0.0,0.0004,ABCB,,,ABCB,3458186447.04,0.2871380397572859,False,0.2871380397572859,4329889695.995413,0.2293307564059525,converged,6.874577217370547,3.108698686300941e-12
ABCB,2022,0.001457267,0.015657267,3.471070286,,8.601081296,1.170387689,1.041076266,54.52979497,48.36522527,63.11737065,52.17831348,52.17831348,53.38414502,59.17687046,66.63859379,58.53741293,58.53741293,10.12876028,0.079991822,1.022723781,12.9,23.69886,4.531524705,13.99982634,86.00017366,25053.286,2004.058,0.16278835,0.0,0.0,0.014199999999999999,ABCB,,,ABCB,3270057017.0,0.3583866762332213,False,0.3583866762332213,5245857562.586726,0.22340469097509788,converged,4.25913069419347,1.0261172929068958e-05
ABCB,2023,-0.08002404,-0.03052404,3.825582127,,7.47521268,1.13540901,1.01260711,17.41491575,36.17008205,59.58580095,39.87768543,39.87768543,54.52979497,48.36522527,63.11737065,52.17831348,52.17831348,10.13474605,0.02538917,1.069025446,14.45,23.51765,5.036362748,13.68620669,86.31379331,25203.699,639.901,0.158563379,0.0,0.0,0.0495,ABCB,,,ABCB,3663279740.05,0.5295449123231164,False,0.5295449123231164,4272275465.0532312,0.45406183124340155,converged,4.0633283463715975,2.4188951021204878e-05
ACNB,2019,0.010970998,0.032370998,1.278689517,,2.538262745,0.13409182,0.118916829,20.28455285,29.06964104,49.07460469,32.08539965,32.08539965,21.58687943,7.901509952,51.83544304,22.57990843,22.57990843,7.450226652,0.057974612,1.411774934,15.64,25.44999,1.67813489,14.61557933,85.38442067,1720.253,99.731,0.171173842,,,0.021400000000000002,ACNB,,,ACNB,395838053.2662,0.2331131684507512,False,0.2331131684507512,493457484.2386919,0.1869978242983239,converged,8.571629403187027,5.1015490298837715e-18
ACNB,2020,-0.254633842,-0.250233842,0.637246828,,1.529470514,0.121505256,0.09983081,18.99807322,27.05251393,60.67753951,35.26196114,35.26196114,20.28455285,29.06964104,49.07460469,32.08539965,32.08539965,7.845949176,0.036084516,0.843434212,14.91,25.44999,1.114744063,22.55444715,77.44555285,2555.362,92.209,0.291229726,,,0.0044,ACNB,,,ACNB,261659210.25000003,0.351050694441641,False,0.351050694441641,353463381.0324131,0.25987317845373037,converged,5.05767899536857,2.1219501116576357e-07
