year,metric,p10,p25,p50,p75,p90
2016,DD_a,11.230134642995665,12.680334631134691,15.421855621605904,18.65336038305149,24.5679192984032
2017,DD_a,10.047875543067128,11.484497127248341,13.887517946194848,16.596217647200916,20.589257099764115
2018,DD_a,9.40883288060592,10.899138998208706,13.329279210216535,16.971217312955442,20.82900515514393
2019,DD_a,7.835115520304076,9.059593616257398,12.360531987150841,15.785170724775295,19.9416699587687
2020,DD_a,9.720169086869436,11.413818033794374,14.755435839931248,18.2862084160959,22.452829652141105
2021,DD_a,6.8889920792850905,8.443833395867891,10.94962435495857,14.026440040998152,17.104456654942958
2022,DD_a,6.901118643948038,8.055179604029455,10.454778275167493,13.068838809200152,15.947669276370343
2023,DD_a,5.628547756701746,7.347151442557238,9.293695997402487,11.513809247273047,16.039786126061042
overall,DD_a,7.383662614713753,9.442741680647519,12.240837498055349,15.74723688601354,19.85161803392199
2016,PD_a,4.053665660437362e-130,1.1934998790174799e-76,7.084049479766486e-54,3.858642863845713e-37,2.618987535358194e-29
2017,PD_a,2.008066441470521e-94,3.7111584152575985e-62,3.7701631924994353e-44,7.892562900212618e-31,4.94741701955847e-24
2018,PD_a,2.9084039494906563e-95,6.706135393537985e-65,7.820071896053015e-41,5.817652972153329e-28,2.5919433859635103e-21
2019,PD_a,1.2096632122393569e-88,2.1349180216926857e-56,2.1381993705359674e-35,6.766122437226169e-20,2.3655720157161125e-15
2020,PD_a,4.638680714178845e-108,2.031741804211464e-74,1.4222205289291025e-49,1.7875430499798148e-30,1.5936513927231314e-22
2021,PD_a,1.4236867009729096e-65,1.0786286953069178e-44,3.6795530202629744e-28,1.5371107857917734e-17,2.832734625089886e-12
2022,PD_a,2.271046019651257e-57,2.7681650612490864e-39,6.966213501487928e-26,4.1683871699793344e-16,2.588284058020849e-12
2023,PD_a,3.993902618128963e-54,5.728449459209675e-31,7.506477043334393e-21,1.0163308344999246e-13,9.09053988982822e-09
overall,PD_a,5.345455080329577e-88,3.5874232991030524e-56,9.404089775993842e-35,1.8157525793987306e-21,7.716770539687805e-14
