instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m,status,size_dummy,covid_dummy,DD_a_wins,DD_m_wins,DD_a_wins_5_95,DD_m_wins_5_95
FCNCA,2018,0.0,-0.161272394,-0.143172394,1.605112602,8.796723209,1.15023372,1.029116271,21.58687943,17.28665197,42.79480346,23.98030862,23.98030862,22.15799615,23.26643699,30.13612446,22.38915755,22.38915755,10.47471083,0.025195949,1.256677533,13.99,35.77237,2.687492745,15.4862947,84.5137053,35408.629,892.154,0.183240039,0.0,0.0,66.50000302597155,0.0,35.0,1.1249107064724061e-268,converged,0,0,66.45295197683572,35.0,41.710068187156885,35.0
CFG,2019,0.0,0.057691708,0.079091708,1.560562546,6.519585371,1.475102424,0.920110427,62.4867593,62.67575442,81.02030889,66.4628819,66.4628819,63.18226927,58.30754806,81.18988375,64.25490469,64.25490469,12.01813334,0.086410069,0.852554272,13.0,31.78233,2.228358909,45.19614528,51.11537006,165733.0,14321.0,0.88419873,0.0,1.0,5.599380461709036,4.605896223283522e-06,2.8672114514612614,0.0020820497401024,converged,0,0,5.609474766475931,2.868739231120174,7.776543615282638,3.925401281033244
FRCB,2018,0.0,-0.66556266,-0.64746266,1.846486442,7.665253768,0.905397312,0.833918167,21.58687943,38.74555725,52.45280924,38.10080772,38.10080772,22.15799615,43.10584389,56.75932281,41.81385478,41.81385478,11.50494575,0.105578201,1.851950432,13.43,24.52842161,3.169590924,9.571389477,84.27572594,99205.204,10473.907,0.113572317,0.0,0.0,66.50000302597155,0.0,32.31711437764412,2.0108444468632054e-229,converged,0,0,66.45295197683572,32.31711437764412,41.710068187156885,32.31711437764412
FRCB,2019,0.0,-0.167573742,-0.146173742,2.013123315,6.74863594,0.908832993,0.85445229,24.26353182,55.91865254,44.99461777,44.50668703,44.50668703,21.58687943,38.74555725,52.45280924,38.10080772,38.10080772,11.6636156,0.122786494,2.274782765,12.73,18.81773,2.638232185,6.8999813,88.01407063,116263.634,14275.604,0.078396343,0.0,1.0,5.599380461709036,4.006009959367485e-07,,,extreme_DD_m_y2019_small,0,0,5.609474766475931,,7.776543615282638,
DFS,2019,0.0,0.156562083,0.177962083,1.489773877,6.75786862,1.609225342,0.997671264,34.4487962,58.68573438,86.53447635,62.30018678,62.30018678,28.9918111,46.26099994,74.32045303,50.76712922,50.76712922,11.64391864,0.225455279,2.328924411,13.5,35.31241,2.163337925,48.11585391,50.77638353,113996.0,25701.0,0.947603011,0.0,1.0,5.599380461709036,3.290064186651213e-08,2.8672114514612614,0.0023057157793637,converged,0,0,5.609474766475931,2.868739231120174,7.776543615282638,3.925401281033244
SBNY,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.599380461709036,0.999876805122454,,,,0,0,5.609474766475931,,7.776543615282638,
SBNY,2020,1.0,1.481214952,1.485614952,2.554065287,11.36123632,1.969459029,1.804407906,54.39040762,45.97932763,52.94067853,45.21047857,45.21047857,51.6393068,47.22842426,48.19955117,43.44888429,43.44888429,11.21031037,0.051670301,1.244983363,13.54,33.03057,1.862014134,12.01724017,87.98275983,73888.344,3817.833,0.136586306,0.0,0.0,,,2.8672114514612614,0.2738485614295861,extreme_DD_a_y2020_small,0,1,,2.868739231120174,,3.925401281033244
FLG,2016,0.0,0.177184194,0.179184194,1.277913761,4.81905146,0.646442187,0.528554939,44.74153298,33.61393941,63.98890785,40.6216915,40.6216915,40.89834515,32.09392922,61.17034314,39.32211137,39.32211137,10.79807558,0.279467438,1.265363015,11.71,36.090125,1.791718442,25.87027811,74.12972189,48926.555,13673.379,0.34898658,0.0,0.0,,,,,extreme_DD_a_y2016_small,0,0,,,,
FLG,2017,0.0,0.223239316,0.231239316,1.577017879,4.748769535,0.551649777,0.509958573,46.0982659,32.71484744,67.38160604,41.20808043,41.20808043,44.74153298,33.61393941,63.98890785,40.6216915,40.6216915,10.80210696,0.26287818,1.010744219,13.86,36.30108,2.175251512,10.62359972,82.77405487,49124.195,12913.679,0.128344561,0.0,0.0,,,,,extreme_DD_a_y2017_small,0,0,,,,
FLG,2021,1.0,0.290464353,0.290864353,2.144761585,2.030837298,0.959636126,0.811031023,29.91767151,43.0395722,38.22720237,36.90733572,36.90733572,40.32394932,47.01419617,46.14266688,40.70685056,40.70685056,10.99418527,0.278226687,0.868038679,12.73,24.68425,2.556737972,18.32871874,75.33931318,59527.0,16562.0,0.243282265,0.0,0.0,,,6.625477995104164,1.7306314759439788e-11,extreme_DD_a_y2021_small,0,1,,6.625477995104164,,6.625477995104164
