instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m,status,size_dummy,covid_dummy,DD_a_wins,DD_m_wins,DD_a_wins_5_95,DD_m_wins_5_95
JPM,2016,0.0,0.245916939,0.247916939,1.584416123,4.864092845,1.536081163,0.60661174,81.76677549,88.33451226,79.6714931,81.52125165,43.76062582,80.25788503,80.66396463,79.53450666,77.84192763,39.46444208,14.72818355,0.198859722,1.347064622,15.2,29.05903,2.126533677,66.06575072,30.58786752,2490972.0,495354.0,2.15986782,1.0,0.0,8.636866886742714,2.888781856745781e-18,,,no_sigma_E,1,0,8.636866886742714,,8.636866886742714,
JPM,2017,0.0,0.223383337,0.231383337,1.657157226,4.749802032,1.21089798,0.579143722,83.07976953,90.87151471,78.3867751,82.35306372,44.13705817,81.76677549,88.33451226,79.6714931,81.52125165,43.76062582,14.74515177,0.195294443,1.595215926,15.7,28.38487,2.189746346,58.56747691,38.45027708,2533600.0,494798.0,1.523200386,1.0,0.0,9.478464001580514,1.2902673464003253e-21,,,no_sigma_E,1,0,9.478464001580514,,9.478464001580514,
BAC,2016,0.0,0.294272614,0.296272614,1.68557989,4.762380718,1.598445255,0.563856359,93.34922256,76.20075905,53.99551693,69.91846793,38.62590063,92.72934151,70.75346278,57.12465537,68.43271701,37.47722807,14.59852906,0.187863534,0.921933918,14.3,31.88739,2.361766859,69.9379706,25.9621837,2188067.0,411058.0,2.693840064,1.0,0.0,7.767357199926725,4.007030379232972e-15,,,no_sigma_E,1,0,7.767357199926725,,7.776543615282638,
BAC,2017,0.0,0.284169939,0.292169939,1.512839951,4.784765439,1.329092417,0.618955918,94.32511457,91.14427914,48.57815996,75.38431681,41.9684742,93.34922256,76.20075905,53.99551693,69.91846793,38.62590063,14.64022708,0.191533617,1.240411104,14.8,31.375235,2.049993302,60.67678975,36.2928731,2281234.0,436933.0,1.67186515,1.0,0.0,9.018904140738806,9.499007461325052e-20,,,no_sigma_E,1,0,9.018904140738806,,9.018904140738806,
WFC,2016,0.0,0.300206983,0.302206983,1.569456302,4.263513523,0.982199558,0.453873147,91.47656339,77.2049598,84.6714931,81.19024,41.59512,84.07776004,76.39654915,87.12437594,79.94497381,45.40726952,14.47309014,0.182298982,1.579373736,16.04,31.47193,2.13322813,60.47723307,35.60349074,1930115.0,351858.0,1.698632123,1.0,0.0,9.432510698565732,2.001940970646759e-21,,,no_sigma_E,1,0,9.432510698565732,,9.432510698565732,
WFC,2017,0.0,0.207840596,0.215840596,1.605949448,4.536545507,0.948817466,0.517319372,92.98477167,78.65993893,89.61141662,83.77104709,42.21447092,91.47656339,77.2049598,84.6714931,81.19024,41.59512,14.48424055,0.168195119,1.634418161,17.46,31.36675,2.203684903,52.63957751,43.31385306,1951757.0,328276.0,1.215305815,1.0,0.0,10.336669765418527,2.4048088677306703e-25,,,no_sigma_E,1,0,10.336669765418527,,10.336669765418527,
WFC,2022,1.0,0.090328548,0.104528548,3.705579532,6.576520399,1.176937193,0.572090548,89.59374671,75.68746162,71.49007988,74.77399595,38.08793255,88.71369128,78.32363608,59.0680208,71.64402068,45.92839332,14.44732474,0.120155554,1.010248763,14.82,21.24215,4.651379866,54.26336955,40.42221497,1881020.0,226015.0,1.342414551,1.0,0.0,7.436164619502807,5.1825328689834016e-14,2.8672114514612614,0.0075579496469115,converged,1,1,7.436164619502807,2.868739231120174,7.776543615282638,3.925401281033244
USB,2016,0.0,0.287997177,0.289997177,1.889560132,4.969372243,0.838823558,0.544760428,74.21371681,63.3681364,32.42922133,51.04307094,51.04307094,67.23016439,49.53154334,29.76945216,42.60883528,42.60883528,13.00799351,0.10603098,2.085565412,16.0,26.17208,2.341925405,40.48296965,55.36788988,445964.0,47286.0,0.73116331,0.0,1.0,12.963024964614425,9.91358444445448e-39,,,no_sigma_E,0,0,12.963024964614425,,12.963024964614425,
USB,2017,0.0,0.206004198,0.214004198,1.864231602,5.15088223,0.853304292,0.60310987,75.13243601,64.6126814,35.35852023,52.69409462,52.69409462,74.21371681,63.3681364,32.42922133,51.04307094,51.04307094,13.04340675,0.105856636,2.033641743,12.9,26.17208,2.346431796,34.63501406,61.63889074,462040.0,48910.0,0.561901969,0.0,1.0,13.43480805206271,1.8902365857623515e-41,,,no_sigma_E,0,0,13.43480805206271,,13.43480805206271,
PNC,2016,0.0,0.278917781,0.280917781,2.132332584,5.19339494,0.888347714,0.563130763,80.33107012,79.53542931,89.03816183,80.32216568,80.32216568,76.84259786,60.74958959,93.93501442,72.65677906,72.65677906,12.81142633,0.143856106,1.359608839,14.3,25.87274,2.663571564,43.79139508,56.20860492,366380.0,52706.0,0.77908703,0.0,1.0,10.258092919815615,5.441742862076505e-25,,,no_sigma_E,0,0,10.258092919815615,,10.258092919815615,
PNC,2017,0.0,0.234963036,0.242963036,2.114639368,5.344189072,0.890351156,0.622785897,81.78697073,77.87503106,94.95115581,81.68382186,81.68382186,80.33107012,79.53542931,89.03816183,80.32216568,80.32216568,12.84994554,0.155181108,1.56793719,13.7,25.06234,2.615789697,36.43980517,63.56019483,380768.0,59088.0,0.573311729,0.0,1.0,10.968758841681568,2.700432890188179e-28,,,no_sigma_E,0,0,10.968758841681568,,10.968758841681568,
TFC,2016,0.0,0.289288587,0.291288587,1.86566266,5.471509695,1.073585997,0.663548569,24.3362241,50.59669309,69.89050057,50.71496694,50.71496694,18.2821119,46.65570645,65.13684641,46.59049511,46.59049511,12.29808649,0.106582572,1.417547395,14.1,29.05421105,2.421366417,44.19674283,50.74182741,219276.0,23371.0,0.871012044,0.0,1.0,11.564878713573538,3.1039476494329037e-31,,,no_sigma_E,0,0,11.564878713573538,,11.564878713573538,
TFC,2017,0.0,0.213431551,0.221431551,1.706542007,5.290902616,0.978874818,0.659205384,30.37984676,63.49712874,68.21207962,57.23487101,57.23487101,24.3362241,50.59669309,69.89050057,50.71496694,50.71496694,12.30881875,0.12897375,1.460767275,13.9,29.65023329,2.247946896,38.94871852,56.50351548,221642.0,28586.0,0.68931496,0.0,1.0,11.49763520569824,6.778960341568282e-31,,,no_sigma_E,0,0,11.49763520569824,,11.49763520569824,
FCNCA,2016,0.0,0.156390746,0.158390746,1.523717553,6.033419071,0.971768051,0.76990952,21.15270351,21.91797436,22.37627986,18.92677603,18.92677603,18.2821119,19.80092668,39.21364379,23.9381714,23.9381714,10.4039851,0.043540243,1.415368331,13.85,36.70965,2.230548301,29.29149687,70.70850313,32990.836,1436.429,0.414257063,0.0,0.0,18.55998083383417,3.3864407484135278e-77,,,no_sigma_E,0,0,18.55998083383417,,18.55998083383417,
FCNCA,2017,0.0,0.187459847,0.195459847,1.610470125,6.756448614,1.143868028,0.948950709,22.15799615,23.26643699,30.13612446,22.38915755,22.38915755,21.15270351,21.91797436,22.37627986,18.92677603,18.92677603,10.44951173,0.045298572,1.451739743,14.21,35.77237,2.276859001,24.23121536,75.76878464,34527.512,1564.047,0.319804725,0.0,0.0,19.084639991889283,1.694014904519402e-81,,,no_sigma_E,0,0,19.084639991889283,,19.084639991889283,
CFG,2016,0.0,0.419556315,0.421556315,1.910496296,5.347639752,1.158132807,0.648921936,21.15270351,42.14945319,67.7460182,45.29469533,45.29469533,18.2821119,32.13164792,56.42361111,36.24979737,36.24979737,11.91518544,0.114693686,0.935433439,14.0,34.226565,2.614951715,53.92799353,45.20220012,149520.0,17149.0,1.193039131,0.0,1.0,9.884809365328584,2.422515442417412e-23,,,no_sigma_E,0,0,9.884809365328584,,9.884809365328584,
CFG,2017,0.0,0.284639564,0.292639564,1.924617281,5.988760859,1.249201545,0.808410057,61.11029612,59.28591744,62.21089774,57.69968745,57.69968745,21.15270351,42.14945319,67.7460182,45.29469533,45.29469533,11.93384389,0.094764205,1.029032914,13.9,32.684565,2.620637605,44.43169629,54.85371659,152336.0,14436.0,0.810003388,0.0,1.0,12.050702750187636,9.615167889088393e-34,,,no_sigma_E,0,0,12.050702750187636,,12.050702750187636,
CFG,2019,0.0,0.057691708,0.079091708,1.560562546,6.519585371,1.475102424,0.920110427,62.4867593,62.67575442,81.02030889,66.4628819,66.4628819,63.18226927,58.30754806,81.18988375,64.25490469,64.25490469,12.01813334,0.086410069,0.852554272,13.0,31.78233,2.228358909,45.19614528,51.11537006,165733.0,14321.0,0.88419873,0.0,1.0,5.599380461709036,4.605896223283522e-06,2.8672114514612614,0.0020820497401024,converged,0,0,5.609474766475931,2.868739231120174,7.776543615282638,3.925401281033244
FITB,2016,0.0,0.361725891,0.363725891,2.211213345,5.608279197,1.270791469,0.653393242,64.97526488,59.44044488,61.64834326,58.28348276,58.28348276,64.01731298,52.95515868,49.95163904,51.10988516,51.10988516,11.86482804,0.124359074,1.360792436,15.02,28.77828,2.893030086,54.98628127,41.44537449,142177.0,17681.0,1.326716961,0.0,1.0,10.824315927408096,1.3202171321465428e-27,,,no_sigma_E,0,0,10.824315927408096,,10.824315927408096,
FITB,2017,0.0,0.263389702,0.271389702,2.222370172,6.568211141,1.359465808,0.895718919,76.96133554,62.50707575,70.55559635,64.58402315,64.58402315,64.97526488,59.44044488,61.64834326,58.28348276,58.28348276,11.8641526,0.131959938,1.415699809,15.16,27.86469,2.869746808,40.26991172,56.10729325,142081.0,18749.0,0.71773043,0.0,1.0,11.618842182379147,1.6529296912530636e-31,,,no_sigma_E,0,0,11.618842182379147,,11.618842182379147,
FRCB,2016,0.0,0.494822577,0.496822577,2.032453444,7.153789567,0.990237747,0.933310636,21.15270351,36.37394181,50.95136519,36.38396661,36.38396661,18.2821119,30.57960897,36.86887255,28.44028017,28.44028017,11.20201259,0.092951898,2.464239347,14.46,30.3649,2.317255947,7.384160471,84.30171399,73277.772,6811.308,0.087592056,0.0,0.0,17.320163865545535,1.657063461032844e-67,,,no_sigma_E,0,0,17.320163865545535,,17.320163865545535,
FRCB,2017,0.0,0.421201892,0.429201892,2.094499596,6.621407901,0.947147187,0.865864427,22.15799615,43.10584389,56.75932281,41.81385478,41.81385478,21.15270351,36.37394181,50.95136519,36.38396661,36.38396661,11.38259474,0.114738538,2.05165595,14.11,27.29984,2.384644382,10.85649086,84.07682295,87780.507,10071.807,0.129125846,0.0,0.0,17.784368325891666,4.67050731439402e-71,,,no_sigma_E,0,0,17.784368325891666,,17.784368325891666,
FRCB,2019,0.0,-0.167573742,-0.146173742,2.013123315,6.74863594,0.908832993,0.85445229,24.26353182,55.91865254,44.99461777,44.50668703,44.50668703,21.58687943,38.74555725,52.45280924,38.10080772,38.10080772,11.6636156,0.122786494,2.274782765,12.73,18.81773,2.638232185,6.8999813,88.01407063,116263.634,14275.604,0.078396343,0.0,1.0,5.599380461709036,4.006009959367485e-07,,,extreme_DD_m_y2019_small,0,0,5.609474766475931,,7.776543615282638,
MTB,2016,0.0,0.292043416,0.294043416,1.769044173,5.086437666,0.768099758,0.556729481,29.36119289,44.96845278,60.10381115,45.12374707,45.12374707,25.98120094,47.46944463,50.85171569,42.96013101,42.96013101,11.72358506,0.078228749,1.601520055,14.09,33.71485,2.398421106,34.91598038,60.95941482,123449.206,9657.277,0.572774205,0.0,1.0,13.220999739753108,3.3187900854813983e-40,,,no_sigma_E,0,0,13.220999739753108,,13.220999739753108,
MTB,2017,0.0,0.150937016,0.158937016,1.574661517,5.44999953,0.822495312,0.667098347,35.44657245,47.90272034,46.26515671,42.32876069,42.32876069,29.36119289,44.96845278,60.10381115,45.12374707,45.12374707,11.68345685,0.070126355,1.708661496,14.75,35.07388,2.251589335,25.46162797,70.96642858,118593.487,8316.529,0.358784125,0.0,1.0,14.46617586804894,9.90944017367488e-48,,,no_sigma_E,0,0,14.46617586804894,,14.46617586804894,
HBAN,2016,0.0,0.325723719,0.327723719,2.465358071,5.90373628,1.224840376,0.684560262,29.82935769,60.45459718,72.90321616,57.48007622,57.48007622,18.38251351,49.02941309,62.5268051,46.84269656,46.84269656,11.51006234,0.120362249,1.55385172,13.05,24.26771,3.053360794,48.64602621,46.67895893,99714.097,12001.813,1.042140342,0.0,0.0,13.838790788766396,7.434338489674636e-44,,,no_sigma_E,0,0,13.838790788766396,,13.838790788766396,
HBAN,2017,0.0,0.241126053,0.249126053,2.347039731,6.570205225,1.341091508,0.865795952,70.24456482,64.62662581,84.31130449,68.20357631,68.20357631,29.82935769,60.45459718,72.90321616,57.48007622,57.48007622,11.55392344,0.136891107,1.602043362,13.39,24.26771,2.915893336,40.37699169,55.70149408,104185.0,14262.0,0.724881663,0.0,1.0,11.735409917166663,4.1959380283003196e-32,,,no_sigma_E,0,0,11.735409917166663,,11.735409917166663,
KEY,2016,0.0,0.394317558,0.396317558,2.56142296,5.490937315,1.098561321,0.609865625,77.89661319,61.4367953,84.66011654,69.4185851,69.4185851,74.18236343,59.2068303,84.51408183,68.11696095,68.11696095,11.82373551,0.10768543,1.452601136,12.85,24.79542,3.161282586,49.4674626,46.42581796,136453.0,14694.0,1.065516232,0.0,1.0,11.609916325021796,1.834872690353498e-31,,,no_sigma_E,0,0,11.609916325021796,,11.609916325021796,
KEY,2017,0.0,0.25223311,0.26023311,2.447974499,5.792653164,1.084106291,0.67784876,80.3662947,77.67592804,82.45644617,76.88239394,76.88239394,77.89661319,61.4367953,84.66011654,69.4185851,69.4185851,11.83281816,0.111432265,1.540465017,12.92,23.7511,3.024624862,42.80931644,54.46321281,137698.0,15344.0,0.786022606,0.0,1.0,12.701033830245771,2.917685270397977e-37,,,no_sigma_E,0,0,12.701033830245771,,12.701033830245771,
KEY,2022,1.0,0.047465031,0.061665031,4.217338728,6.552945264,1.28590853,0.508732976,73.97123783,77.05672387,77.01622896,74.19311821,74.19311821,76.47217893,71.19131045,73.94408153,70.45122763,70.45122763,12.15379466,0.15157023,1.484253624,12.79,15.61507,4.973197578,60.7986037,33.58375542,189813.0,28770.0,1.810357506,0.0,1.0,8.70262393291251,1.6214858798204537e-18,,,extreme_DD_m_y2022_small,0,1,8.70262393291251,,8.70262393291251,
RF,2016,0.0,0.356250092,0.358250092,2.301962126,8.60749851,1.471288577,1.23102252,53.19620528,51.50771125,70.02172691,52.44053548,52.44053548,43.69233551,48.98376488,70.40837032,50.84859263,50.84859263,11.74378319,0.061626762,1.100819026,14.15,31.88739,2.990824705,21.18289334,73.92415664,125968.0,7763.0,0.286549002,0.0,1.0,12.789147202108726,9.426565814195976e-38,,,no_sigma_E,0,0,12.789147202108726,,12.789147202108726,
RF,2017,0.0,0.259783842,0.267783842,2.074722673,7.679190939,1.317741644,1.103612023,62.20669713,54.57967964,71.52047932,57.458141,57.458141,53.19620528,51.50771125,70.02172691,52.44053548,52.44053548,11.73040501,0.069448244,1.274830814,13.78,30.74163,2.70386418,21.14007014,75.46027159,124294.0,8632.0,0.280148344,0.0,1.0,13.704565384961118,4.766822529870474e-43,,,no_sigma_E,0,0,13.704565384961118,,13.704565384961118,
DFS,2016,0.0,0.294669349,0.296669349,1.871323188,6.204668534,1.466078734,0.842963126,23.49352748,50.88147633,73.41723549,52.00449569,52.00449569,22.84303853,51.98861688,70.41732532,51.79336452,51.79336452,11.43288609,0.275631581,2.603934049,15.5,37.11424,2.761313722,53.4301298,45.45466809,92308.0,25443.0,1.175459684,0.0,0.0,11.644832922751602,1.2189948628305698e-31,,,no_sigma_E,0,0,11.644832922751602,,11.644832922751602,
DFS,2017,0.0,0.320830797,0.328830797,1.749679341,6.105188521,1.515509085,0.891316777,29.51822378,53.14581786,67.90295905,51.8652637,51.8652637,23.49352748,50.88147633,73.41723549,52.00449569,52.00449569,11.51379509,0.263031163,2.665429509,13.8,37.11424,2.537617125,52.11255572,46.7959594,100087.0,26326.0,1.113612295,0.0,1.0,10.601151513298616,1.471667749837695e-26,,,no_sigma_E,0,0,10.601151513298616,,10.601151513298616,
