year,metric,p10,p25,p50,p75,p90
2016,DD_m,6.9682948160547555,8.144592385629036,9.20298339808853,10.967274839816604,14.02697104169399
2017,DD_m,5.358554765034907,6.392603850038507,7.9764420145913135,9.43770478075876,11.220406163160652
2018,DD_m,5.416145604632904,6.3499425987695,7.608549728133777,9.59148985672641,12.137594489786698
2019,DD_m,5.282996335018674,6.306047574078421,8.00937469369934,9.721626086687454,12.564701202881531
2020,DD_m,5.456758479493113,6.6641655575585315,8.015948264007955,10.463998893060493,13.80314692094746
2021,DD_m,4.022300597092141,4.805220633991617,6.391235303428008,8.624309757126294,10.645815533181912
2022,DD_m,3.3770508578073897,4.105657583915425,5.280170003311358,6.912456439243887,8.770927611825186
2023,DD_m,3.4076088968888065,4.130688541887486,5.013820428435703,6.443325468236743,8.528606637125327
2016,PD_m,4.348587703238365e-42,3.1687198778111286e-28,1.9271406097403478e-20,1.0050531908181894e-15,1.611135215882613e-12
2017,PD_m,1.6887649439149536e-29,1.9051708504660723e-21,7.530593767798297e-16,8.154219500900247e-11,4.2042328753634196e-08
2018,PD_m,3.526247651227614e-34,4.341106016285922e-22,1.3859430267142707e-14,1.0769764208086892e-10,3.059064437525813e-08
2019,PD_m,1.6622899480833994e-36,1.3606325732682642e-22,5.771946206006635e-16,1.4403364010613156e-10,6.405200445837381e-08
2020,PD_m,1.3640869208044155e-43,7.026355842266123e-26,5.553906015405813e-16,1.3610493202440473e-11,2.4263866716358867e-08
2021,PD_m,3.4538235448299924e-26,3.2806930956586174e-18,8.296286073727214e-11,7.729049285890357e-07,2.9682856594639304e-05
2022,PD_m,1.1491918167703647e-18,2.4575830211858123e-12,6.45320393868597e-08,2.0309589884052715e-05,0.0003667144789189394
2023,PD_m,7.51067653759583e-18,5.845592934259412e-11,2.6711012145683126e-07,1.808391966346574e-05,0.0003279770052177692
overall,DD_m,4.1690712540935655,5.362558818350312,7.139358531883075,9.153400484085125,11.52776970114508
overall,PD_m,4.780134621525735e-31,2.758450470387278e-20,4.688373284696825e-13,4.10256189068562e-08,1.529296469676025e-05
