instrument,year,a_E,a_E_source,a_weak_E_proxy,a_E_pb,a_E_de,a_E_wacc,a_F,a_sigma_E,a_sigma_D_hat,a_sigma_V_hat,a_mu_hat,DD_a,PD_a,a_naive_status,m_covid,m_rit_rf,m_rit,m_new_wacc,"m_weighted_average_cost_of_capital,_(%)",m_beta_levered,m_beta_unlevered,m_environmental_pillar_score,m_social_pillar_score,m_governance_pillar_score,m_esg_score,m_esg_combined_score,m_environmental_pillar_score_1,m_social_pillar_score_1,m_governance_pillar_score_1,m_esg_score_1,m_esg_combined_score_1,m_lnta,m_td/ta,m_price_to_book_value_per_share,m_capital_adequacy_total_(%),"m_wacc_tax_rate,_(%)","m_wacc_cost_of_debt,_(%)","m_wacc_debt_weight,_(%)","m_wacc_equity_weight,_(%)",m_total_assets,m_debt_total,m_d/e,m_dummylarge,m_dummymid,m_rf,m_F,m_ticker_prefix,m_date,m_Month,m_symbol,m_market_cap,m_equity_volatility,m_equity_vol,m_E_t,m_F_t,m_rf_t,m_T,m_sigma_E_tminus1,m_sigmaE_count,m_sigmaE_window_end_year,m_sigmaE_window_start_year,m_asset_value,m_asset_vol,m_solver_cost,m_nfev,m_status_flag,m_d1,m_d2,DD_m,PD_m,m_solver_status,size_dummy,covid_dummy,outlier_a,outlier_m
ABCB,2018,11550541866.87213,E_pb,False,11550541866.87213,3178538293.441459,10574094390.73903,261345000.00000003,0.08676719292247,0.0716917982306175,0.086433640876963,0.244120629,46.87301717500705,0.0,ok,0.0,-0.368210621,-0.350110621,2.026303985,10.82817279,1.392523336,1.317869321,21.58687943,37.66456892,55.87830335,38.79781539,38.79781539,22.15799615,41.65562543,68.93388241,45.47738788,45.47738788,9.345178473,0.022837826,1.032942789,12.229,31.10399,3.410669159,7.59749613,92.40250387,11443.515,261.345,0.082221756,0.0,0.0,0.0181,261345000.00000003,ABCB,,,ABCB,2182408076.32,0.3233038168146218,0.08676719292247,2182408076.32,261345000.00000003,0.0181,1.0,0.08676719292247,2.0,2017.0,2016.0,2439065284.3179073,0.0776368816272764,0.0,4.0,converged,29.040869321250504,28.963232439623223,28.963232439623223,9.560798671737068e-185,converged,1,0,other,other
ALRS,2022,4372430786.796678,E_pb,False,4372430786.796678,1713002003.2835138,3011512375.013307,436923000.0,0.059845298653466,0.0649613246633665,0.0603100823918677,0.073237546,40.95467661526021,0.0,ok,1.0,-0.072396417,-0.058196417,3.368981311,6.301563299,0.632423343,0.529436556,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,19.0205481,35.90302821,75.87159496,45.35040546,45.35040546,8.237383252,0.115599196,1.308048127,16.48,23.73583,4.478316148,20.3227089,79.6772911,3779.637,436.923,0.255062749,0.0,0.0,0.0141999999999999,436923000.0,ALRS,,,ALRS,592289095.0,0.1538109001402423,0.059845298653466,592289095.0,436923000.0,0.0141999999999999,1.0,0.059845298653466,2.0,2021.0,2020.0,1023051631.2112694,0.0346470471939197,0.0,8.0,converged,24.98303711043265,24.94839006323873,24.94839006323873,1.1115176298418798e-137,converged,0,1,other,other
ALRS,2023,4230909878.410419,E_pb,False,4230909878.410419,360822533.9595492,1921103240.314151,373126000.0,0.0666183653603811,0.0666545913400952,0.06662130123127,-0.058196417,36.81040053656623,6.293536652802008e-297,ok,1.0,-0.048601476,0.000898524,3.38636152,5.339488226,0.684421263,0.382470984,15.2370401,38.94594852,84.19385613,49.79980098,49.79980098,17.26625006,32.76956609,70.48324022,41.84463694,41.84463694,8.270707571,0.095484494,1.197002614,14.76,23.65597,4.435081289,50.83816953,49.16183047,3907.713,373.126,1.034098386,0.0,0.0,0.0495,373126000.0,ALRS,,,ALRS,567938023.0,0.4249627806757212,0.0666183653603811,567938023.0,373126000.0,0.0495,1.0,0.0666183653603811,3.0,2022.0,2020.0,923043961.8352135,0.0409894916633221,0.0,5.0,converged,23.325509267485383,23.284519775822066,23.284519775822066,3.1810688702311555e-120,converged,0,1,other,other
AROW,2020,4997506647.55713,E_pb,False,4997506647.55713,343667096.45528054,2938689617.8227844,87703000.0,0.1430282351933737,0.0857570587983434,0.142040497355311,0.087534827,29.129597421391164,7.574755608317731e-187,ok,1.0,-0.179781542,-0.175381542,0.698529107,3.987268628,0.633919553,0.536885399,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,8.213012021,0.02377654,1.38783661,15.5,29.17827,1.183610401,20.3312656,79.6687344,3688.636,87.703,0.255197547,0.0,0.0,0.0044,87703000.0,AROW,,,AROW,451056148.114,0.2660258840762802,0.1430282351933737,451056148.114,87703000.0,0.0044,1.0,0.1430282351933737,3.0,2019.0,2017.0,538374102.6445484,0.1198307391409105,0.0,7.0,converged,15.239639564795768,15.119808825654856,15.119808825654856,5.994507659638052e-52,converged,0,1,other,other
AROW,2021,6025606149.181461,E_pb,False,6025606149.181461,1439854214.1708708,3840777815.084661,70169000.0,0.14269299576886,0.085673248942215,0.1420366364844109,-0.175381542,30.12586016192352,1.1110293773245337e-199,ok,1.0,0.230513245,0.230913245,1.895743907,1.543761519,0.662189186,0.637723954,17.43215031,17.67301815,44.26701319,24.70194175,24.70194175,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,8.301013337,0.017420515,1.522470067,15.7,21.27914,2.128484023,4.646882214,95.35311779,4027.952,70.169,0.048733406,0.0,0.0,0.0004,70169000.0,AROW,,,AROW,565115143.0334799,0.1453358316772399,0.14269299576886,565115143.0334799,70169000.0,0.0004,1.0,0.14269299576886,3.0,2020.0,2018.0,635256081.0465798,0.1269377424546522,0.0,5.0,converged,17.422542178884395,17.295604436429745,17.295604436429745,2.538385997146942e-67,converged,0,1,other,low_leverage
ASB,2018,26860386455.18605,E_pb,False,26860386455.18605,20147751196.09048,,4527056000.0,0.0880665037542206,0.0720166259385551,0.085751606776921,0.194351273,24.804324215350096,4.025895742118389e-136,ok,0.0,-0.29805053,-0.27995053,2.114752569,8.075832362,1.066817217,0.922192982,49.46342334,54.75894649,35.5374195,42.02091281,42.02091281,22.15799615,55.95320385,58.34019675,48.75525994,48.75525994,10.4227313,0.134673199,0.923416031,13.47,30.20409,3.342762277,17.52583241,77.9990597,33615.122,4527.056,0.224692868,0.0,0.0,0.0181,4527056000.0,ASB,,,ASB,3281379900.0,0.2131636695631994,0.0880665037542206,3281379900.0,4527056000.0,0.0181,1.0,0.0880665037542206,2.0,2017.0,2016.0,7727233286.93515,0.0373975580331158,0.0,6.0,converged,14.799852151258856,14.76245459322574,14.76245459322574,1.2789941721247826e-49,converged,1,0,other,other
ATLO,2021,2244257621.94151,E_pb,False,2244257621.94151,249112679.59878364,1823391220.4980247,42851000.0,0.1218089987136989,0.0804522496784247,0.1210341434943582,0.026517159,33.01966798752453,2.1204815713760303e-239,ok,1.0,0.124208575,0.124608575,0.8943287,1.438478915,0.716913121,0.630735118,17.43215031,18.39276359,24.56155549,17.96497072,17.96497072,20.28455285,20.75660816,20.42767696,17.64924135,17.64924135,7.667177441,0.020051557,1.071659029,14.8,20.57005,0.992080076,14.67682555,85.32317445,2137.041,42.851,0.172014528,0.0,0.0,0.0004,42851000.0,ATLO,,,ATLO,222667169.83,0.1558160165871657,0.1218089987136989,222667169.83,42851000.0,0.0004,1.0,0.1218089987136989,2.0,2020.0,2019.0,265501032.86099073,0.1021572890878193,0.0,7.0,converged,17.90873486484925,17.80657757576143,17.80657757576143,3.1418233786511136e-71,converged,0,1,other,other
ATLO,2022,2926360539.54937,E_pb,False,2926360539.54937,387518909.30900246,1770378343.4479122,79796000.0,0.1368629531469456,0.0842157382867364,0.1354654753038207,0.124608575,27.640824245969355,1.7989014143735803e-168,ok,1.0,0.028534044,0.042734044,3.694093948,5.996126898,0.528090272,0.453858036,15.8938172,17.13352444,23.06238361,16.80068622,16.80068622,17.43215031,18.39276359,24.56155549,17.96497072,17.96497072,7.666187265,0.037376471,1.423929649,14.1,20.57005,4.606142801,17.07542353,82.92457647,2134.926,79.796,0.205915113,0.0,0.0,0.0141999999999999,79796000.0,ATLO,,,ATLO,212305062.87,0.1044412650534659,0.1368629531469456,212305062.87,79796000.0,0.0141999999999999,1.0,0.1368629531469456,3.0,2021.0,2019.0,290975966.75769955,0.0998594426759373,0.0,5.0,converged,13.1480130108452,13.048153568169264,13.048153568169264,3.255311502289351e-39,converged,0,1,other,other
ATLO,2023,2304384339.930012,E_pb,False,2304384339.930012,402887236.2928476,1530331033.8851311,164582000.0,0.0525806556293254,0.0631451639073313,0.0532848887625564,0.042734044,51.59925070862384,0.0,ok,1.0,-0.025727273,0.023772727,3.584683608,5.484925721,0.575283642,0.434347974,14.03688525,16.48253531,28.7092158,18.5106552,18.5106552,15.8938172,17.13352444,23.06238361,16.80068622,16.80068622,7.675769179,0.076355115,1.157459188,14.0,20.57005,4.491763673,29.00280569,70.99719431,2155.481,164.582,0.408506364,0.0,0.0,0.0495,164582000.0,ATLO,,,ATLO,191892843.78,0.3006420859970244,0.0525806556293254,191892843.78,164582000.0,0.0495,1.0,0.0525806556293254,3.0,2022.0,2020.0,348526382.11820054,0.0289500374818669,0.0,8.0,converged,27.641555070194222,27.61260503271236,27.61260503271236,3.9266988775835274e-168,converged,0,1,other,other
AUB,2018,11622155514.620571,E_pb,False,11622155514.620571,7105073721.737109,11037322388.10671,1756278000.0,0.0739995625727078,0.0684998906431769,0.073277583216418,0.209013932,30.524700814305003,6.1270845562368185e-205,ok,0.0,-0.293065182,-0.274965182,2.418130227,9.698229379,1.357275064,1.146883846,21.58687943,36.96643062,56.48567622,38.67019303,38.67019303,22.15799615,38.02659317,48.27613818,36.24059996,36.24059996,9.529927933,0.127584568,0.967761251,12.88,25.7864,3.555411151,19.81952701,80.18047299,13765.599,1756.278,0.247186457,0.0,0.0,0.0181,1756278000.0,AUB,,,AUB,4021871640.0,0.2886847839731961,0.0739995625727078,4021871640.0,1756278000.0,0.0181,1.0,0.0739995625727078,2.0,2017.0,2016.0,5746646967.4312935,0.0517896338120635,0.0,5.0,converged,23.264517355818494,23.21272772200643,23.21272772200643,1.6934626033415322e-119,converged,1,0,other,other
