instrument,year,E,E_source,weak_E_proxy,E_pb,E_de,E_wacc,F,sigma_E,sigma_D_hat,sigma_V_hat,mu_hat,DD_a,PD_a,naive_status
ABCB,2016,14749059164.192553,E_pb,False,14749059164.192553,4697069318.715835,6076890927.843194,630054000.0,0.2033440081968736,0.1008360020492184,0.19914444359156658,0.044898351,16.16931453367851,4.150843052470977e-59,ok
ABCB,2017,16719599892.468857,E_pb,False,16719599892.468857,3745861983.4189157,7155625066.741166,366742000.0,0.2422644331164355,0.11056610827910887,0.23943765443253362,0.36682797,17.45564574949596,1.5591564996263638e-68,ok
ABCB,2018,11550541866.87213,E_pb,False,11550541866.87213,3178538293.441459,10574094390.73903,261345000.00000003,0.2442752122708268,0.1110688030677067,0.24132794149135242,0.244120629,16.68278156234116,8.744137906879432e-63,ok
ABCB,2019,19988802296.055454,E_pb,False,19988802296.055454,11796836413.748125,16127765801.503132,1546904000.0,0.3154915228659216,0.1288728807164804,0.3020867559153055,-0.350110621,7.407534202061719,6.433465381800758e-14,ok
ABCB,2020,19880171636.48633,E_pb,False,19880171636.48633,1744392806.2940605,15464103369.85454,561141000.0,0.3220590300398134,0.13051475750995334,0.3168008870554031,0.033435141,11.296037784689737,6.863643147297915e-30,ok
ABCB,2021,26796601028.930866,E_pb,False,26796601028.930866,6227115243.298344,20927597467.45647,872052000.0,0.4277487200730229,0.15693718001825574,0.41921336618785526,-0.206422953,7.544877419267856,2.263565574996827e-14,ok
ABCB,2022,23572993609.29107,E_pb,False,23572993609.29107,12310819539.604647,21545869467.53647,2004058000.0,0.3948476285305778,0.14871190713264446,0.375561970860242,0.218988798,7.175877786232278,3.592235661914441e-13,ok
ABCB,2023,26259325112.403908,E_pb,False,26259325112.403908,4035616571.970253,21754268661.334538,639901000.0,0.3886298423962624,0.1471574605990656,0.3828854980073673,0.015657267,9.613568424754241,3.5038668838292095e-22,ok
ACNB,2019,2287812339.595548,E_pb,False,2287812339.595548,582629909.0722051,1468828058.108295,99731000.0,0.1919254518593882,0.09798136296484705,0.1880012768405889,0.044898351,17.035893735618433,2.2244637114103167e-65,ok
ACNB,2020,2077507509.5904365,E_pb,False,2077507509.5904365,316619464.86877507,1979014228.218817,92209000.0,0.2094796144592121,0.10236990361480303,0.20492764682491668,0.032370998,15.467251171182864,2.885981244260445e-54,ok
ACNB,2021,2710810000.8759003,E_pb,False,2710810000.8759003,382690521.5279295,2356542491.7442203,69902000.0,0.2841602710554291,0.12104006776385728,0.2800597282998702,-0.250233842,12.118548714866606,4.21187904869718e-34,ok
ACNB,2022,3406653858.2968802,E_pb,False,3406653858.2968802,387238843.29517263,2172345526.919239,62954000.0,0.2780077239642558,0.11950193099106396,0.27513172929904534,0.213267053,15.210208164216501,1.5128973789542338e-52,ok
ACNB,2023,2974987926.259801,E_pb,False,2974987926.259801,1278710141.925802,2020403835.2101846,252174000.0,0.3198757042116029,0.12996892605290072,0.30503617865643645,0.141769598,8.669414619727686,2.171737987777822e-18,ok
ALRS,2020,4195141354.6484404,E_pb,False,4195141354.6484404,335531388.1173171,2564800849.647486,58735000.0,0.1573298640320293,0.08933246600800733,0.15639099631703882,0.044898351,27.592505381713483,6.843690279974349e-168,ok
ALRS,2021,4674870866.014622,E_pb,False,4674870866.014622,513915729.2440479,3043660884.3977866,58933000.0,0.2420466181692361,0.11051165454230902,0.24040908728903257,-0.011396487,18.076639490887302,2.4343210990275172e-73,ok
ALRS,2022,4372430786.796678,E_pb,False,4372430786.796678,1713002003.2835138,3011512375.013307,436923000.0,0.2665454790475369,0.11663636976188423,0.25292644816313165,0.073237546,9.646332748696446,2.5472535278902626e-22,ok
ALRS,2023,4230909878.410419,E_pb,False,4230909878.410419,360822533.9595492,1921103240.314151,373126000.0,0.2726258193345748,0.1181564548336437,0.26010712104009626,-0.058196417,9.306735296563089,6.591094957138624e-21,ok
AMTB,2020,4844532151.420632,E_pb,False,4844532151.420632,3526162012.609177,5831434694.579396,1172755000.0,,,,0.044898351,,,invalid_sigmaV
AMTB,2021,9962550465.77475,E_pb,False,9962550465.77475,6935240297.801091,6732953472.991133,932649000.0,,,,-0.430993268,,,invalid_sigmaV
AMTB,2022,10346042481.421167,E_pb,False,10346042481.421167,5824692077.58551,7723388374.715272,1059157999.9999999,,,,0.496432825,,,invalid_sigmaV
AMTB,2023,10003318498.011852,E_pb,False,10003318498.011852,3064952620.566017,7708834883.924403,798158000.0,,,,0.216892544,,,invalid_sigmaV
AROW,2017,4769586053.469014,E_pb,False,4769586053.469014,1438097028.1245813,2358685590.474387,244966000.0,0.1801971392556177,0.09504928481390443,0.1760375794208087,0.044898351,17.31666440771146,1.760948944401273e-67,ok
AROW,2018,4530566669.11395,E_pb,False,4530566669.11395,2289691431.8392067,2588518976.451369,353659000.0,0.1948206759285628,0.09870516898214071,0.1878611051851145,0.1238279,14.540608966394275,3.349700604285901e-48,ok
AROW,2019,5539087313.821926,E_pb,False,5539087313.821926,1202676685.1848538,2661274705.0416527,236353000.0,0.2038831669993971,0.10097079174984927,0.19967160090128602,-0.14004885,15.205267495702676,1.6314759987405375e-52,ok
AROW,2020,4997506647.55713,E_pb,False,4997506647.55713,343667096.45528054,2938689617.8227844,87703000.0,0.1956713657963584,0.0989178414490896,0.19400268840959525,0.087534827,21.282445976555724,8.255041921813737e-101,ok
AROW,2021,6025606149.181461,E_pb,False,6025606149.181461,1439854214.1708708,3840777815.0846605,70169000.0,0.2140732560355588,0.1035183140088897,0.21280064844469138,-0.175381542,20.04890974178995,1.0315850676254486e-89,ok
AROW,2022,6173197402.58115,E_pb,False,6173197402.58115,1514340694.0079827,3770520599.329345,79919000.0,0.2097232254602229,0.10243080636505572,0.2083519567536101,0.230913245,21.929381746021864,6.813312526797004e-107,ok
ASB,2016,32410401528.54878,E_pb,False,32410401528.54878,6887849352.465166,,3853830000.0,0.1898293715629111,0.09745734289072777,0.18001291936599986,0.044898351,12.612763975887374,8.979128392935294e-37,ok
ASB,2017,33315540393.295376,E_pb,False,33315540393.295376,14312299281.082872,,4073732000.0,0.1992386805907359,0.09980967014768398,0.18840543576827637,0.318896117,13.364646825947055,4.864785252475114e-41,ok
ASB,2018,26860386455.18605,E_pb,False,26860386455.18605,20147751196.09048,,4527056000.0,0.2081515816519564,0.1020378954129891,0.19284665196053255,0.194351273,10.952186042412793,3.2431519014812067e-28,ok
ASB,2019,26642421482.820114,E_pb,False,26642421482.820114,15219372903.967215,,4195423000.0,0.2089709386065134,0.10224273465162835,0.19445079398776516,-0.27995053,8.721447534960676,1.3733375020820917e-18,ok
ASB,2020,21703507651.020733,E_pb,False,21703507651.020733,2656033338.405261,,2434505000.0,0.2237289104844829,0.10593222762112073,0.2118482052433187,0.046528639,10.942425691851183,3.6120392095701478e-28,ok
ASB,2021,28949505738.033516,E_pb,False,28949505738.033516,12750926542.02518,,2224633000.0,0.3100499803819582,0.12751249509548956,0.2970238333914124,-0.235659316,7.9462512639271035,9.61201533464243e-16,ok
ASB,2022,31117832056.516445,E_pb,False,31117832056.516445,29250855651.592705,,5173869000.0,0.3097415187606213,0.12743537969015534,0.2837513321893856,0.244809493,7.585939409310086,1.650433299091829e-14,ok
ASB,2023,31015243041.834812,E_pb,False,31015243041.834812,7391286291.184422,,2808243000.0,0.3250455693760349,0.13126139234400874,0.3089563626636381,0.063894395,8.107176528129356,2.5904781955010946e-16,ok
ATLO,2018,1913791393.5271566,E_pb,False,1913791393.5271566,287038269.78836346,1220632218.3523097,55274486.0,0.1741587146768899,0.09353967866922247,0.17189562341952203,0.044898351,20.961135224706187,7.425146562153438e-98,ok
ATLO,2019,2331780300.2650714,E_pb,False,2331780300.2650714,237765246.2923734,1450292636.9875705,47033570.0,0.1838264391957041,0.09595660979892603,0.18208908940828214,-0.145746779,20.65566191532441,4.341157533616938e-95,ok
ATLO,2021,2244257621.94151,E_pb,False,2244257621.94151,249112679.59878364,1823391220.4980247,42851000.0,0.2649843694916539,0.11624609237291347,0.2621976265046047,0.026517159,15.139183830643038,4.46576232814892e-52,ok
ATLO,2022,2926360539.54937,E_pb,False,2926360539.54937,387518909.30900246,1770378343.4479122,79796000.0,0.257759817413165,0.11443995435329125,0.2539555072775258,0.124608575,14.653378388302771,6.4090229580869686e-49,ok
ATLO,2023,2304384339.930012,E_pb,False,2304384339.930012,402887236.2928476,1530331033.8851311,164582000.0,0.2456442980862369,0.11141107452155923,0.2366962731401584,0.042734044,11.50363448880308,6.323761095737316e-31,ok
AUB,2016,11578875069.819904,E_pb,False,11578875069.819904,1247209548.629522,4697619235.497322,990089000.0,,,,0.044898351,,,invalid_sigmaV
AUB,2017,12241929139.895494,E_pb,False,12241929139.895494,3934838645.571807,7111356164.224868,1219414000.0,,,,0.313665117,,,invalid_sigmaV
AUB,2018,11622155514.620571,E_pb,False,11622155514.620571,7105073721.737109,11037322388.10671,1756278000.0,,,,0.209013932,,,invalid_sigmaV
AUB,2019,19184512653.880466,E_pb,False,19184512653.880466,12548874979.333189,15672450732.459507,1513748000.0,,,,-0.274965182,,,invalid_sigmaV
AUB,2020,17979962325.969467,E_pb,False,17979962325.969467,2329772907.962444,14374344690.968678,851338000.0,,,,0.076618101,,,invalid_sigmaV
AUB,2021,20353783583.904926,E_pb,False,20353783583.904926,3636992731.603177,17570534888.82926,516071000.0,,,,-0.217426346,,,invalid_sigmaV
AUB,2022,20741661863.042248,E_pb,False,20741661863.042248,5746073353.840969,15752825056.02937,1716988000.0,,,,0.267673684,,,invalid_sigmaV
AUB,2023,21285261843.83252,E_pb,False,21285261843.83252,2769416699.6261644,14337121674.720118,1318910000.0,,,,0.04994061,,,invalid_sigmaV
AUBN,2018,1056785134.1410111,E_pb,False,1056785134.1410111,170101219.8402217,807163056.9128867,2300000.0,0.153730516017782,0.08843262900444551,0.15358870953283643,0.044898351,40.141982014224894,0.0,ok
AUBN,2019,1589291293.12586,E_pb,False,1589291293.12586,185984364.43888482,823147715.3925871,1069000.0,0.2453331620553263,0.11133329051383158,0.24524309072790632,-0.125918529,29.150674948509128,4.0955354055592755e-187,ok
AUBN,2020,1317386342.9220197,E_pb,False,1317386342.9220197,149426248.80707315,941525161.7701863,2392000.0,0.3040106593279699,0.12600266483199246,0.30368803308916403,0.053819029,20.81344792333711,1.6348133206439021e-96,ok
AUBN,2021,1207762463.740896,E_pb,False,1207762463.740896,124728711.4352064,1075421064.3831248,3448000.0,0.427635431704861,0.15690885792621526,0.42686474382332995,-0.042483867,13.418748280620308,2.3478879325491805e-41,ok
AUBN,2022,1209545987.799916,E_pb,False,1209545987.799916,78851143.47603844,991801151.2013807,2551000.0,0.3914345668324941,0.14785864170812352,0.39092193278485066,0.094432853,15.812990019266017,1.26580498477733e-56,ok
BAC,2016,1638284869691.262,E_pb,False,1638284869691.262,152591835533.70746,,411058000000.0,0.2177670658141877,0.10444176645354693,0.19503623263174216,0.183145761,9.078653318417988,5.496323590866496e-20,ok
BAC,2017,2287691439518.304,E_pb,False,2287691439518.304,261344642538.90335,,436933000000.0,0.2870739268840896,0.1217684817210224,0.26056480400321147,0.296272614,8.031136919809068,4.828675053444067e-16,ok
BAC,2018,1880464778825.7322,E_pb,False,1880464778825.7322,308938904101.1059,,436569000000.0,0.2830160603976913,0.12075401509942282,0.2524431013406504,0.292169939,7.642921647192622,1.0617361164931662e-14,ok
BAC,2019,2583313629922.23,E_pb,False,2583313629922.23,240587582226.15817,,430169000000.0,0.280422858858887,0.12010571471472176,0.25753788686847895,-0.250433597,6.457601620191573,5.318766050479102e-11,ok
BAC,2020,2498469754734.4233,E_pb,False,2498469754734.4233,203472355477.7045,,452578000000.0,0.2373166333401154,0.10932915833502885,0.21768824360297104,0.252632155,9.66470888768824,2.129144295198687e-22,ok
BAC,2021,3915651385862.976,E_pb,False,3915651385862.976,343380096514.30536,,496199000000.0,0.3248416105054304,0.1312104026263576,0.30306398812134894,-0.144120537,6.582860596697358,2.307409003689558e-11,ok
BAC,2022,2761945888287.216,E_pb,False,2761945888287.216,239142785208.48633,,498549000000.0,0.3333581613620677,0.13333954034051693,0.30277412829092337,0.425587971,7.456661792635149,4.437105358971353e-14,ok
BANC,2017,11880557413.291384,E_pb,False,11880557413.291384,9030495634.522469,,1875707000.0,0.3614693217033709,0.14036733042584273,0.33132141669854337,0.044898351,5.983676181308215,1.0907841136109868e-09,ok
BANC,2018,8429830794.267695,E_pb,False,8429830794.267695,9160598456.677603,,1696763000.0,0.3870982382668705,0.14677455956671764,0.34683076686171416,0.279441182,5.783045442691024,3.6680117704096387e-09,ok
BANC,2019,7865120430.446401,E_pb,False,7865120430.446401,5705824043.039538,,1374622000.0,0.4024037260465672,0.1506009315116418,0.3649423288664225,-0.350183797,4.078890989334043,2.262552387563563e-05,ok
BANC,2020,7341642270.163275,E_pb,False,7341642270.163275,2275146591.8138022,,801625000.0,0.3469689934387899,0.13674224835969748,0.3262742269607828,0.048575203,7.09113200419579,6.650969268924988e-13,ok
BANC,2021,10914321608.860287,E_pb,False,10914321608.860287,2025181054.79305,,780032000.0,0.5227341885321466,0.18068354713303664,0.49991886629751875,-0.05203583,5.061883770426923,2.0756704673047418e-07,ok
BANC,2022,8028975346.744559,E_pb,False,8028975346.744559,3346590095.9381247,7077232147.161264,1002376000.0,0.5016753781893297,0.17541884454733242,0.46546465992469116,0.128714233,4.766665602065233,9.364989478757529e-07,ok
BANC,2023,27074348280.545185,E_pb,False,27074348280.545185,5897608294.174229,23319289144.57727,3847921000.0,0.4623123782255308,0.1655780945563827,0.4253872072042421,-0.096957373,4.45831249137406,4.130370721947984e-06,ok
BANF,2016,14454602221.45717,E_pb,False,14454602221.45717,1027280518.2843686,6803966940.629695,32459000.000000004,0.1677074050086859,0.09192685125217148,0.16753761481060625,0.044898351,36.600123367937144,1.4235897978266984e-293,ok
BANF,2017,15186696639.517303,E_pb,False,15186696639.517303,1742897595.4972253,7118941964.33869,32859000.0,0.1901830276018589,0.09754575690046473,0.1899830238599577,0.277536059,33.67458791576773,6.808627603015637e-249,ok
BANF,2018,13598414252.488651,E_pb,False,13598414252.488651,1636278205.1006558,7444685172.938556,28479000.0,0.2239258923645233,0.10598147309113082,0.2236793989742655,0.219474666,28.456317609254107,2.0352135322318369e-178,ok
BANF,2019,17342908320.19413,E_pb,False,17342908320.19413,1841803932.8956058,8437920435.6305275,27904000.0,0.2167415528754992,0.1041853882188748,0.21656074571687672,-0.239323586,28.49548606509351,6.662245630420671e-179,ok
BANF,2020,16518790366.300539,E_pb,False,16518790366.300539,1374010694.0812263,9028992337.471628,27904000.0,0.2107593697700591,0.10268984244251478,0.21057712357491035,0.131591861,30.841869074902633,3.6001668861664484e-209,ok
BANF,2021,18297304421.9735,E_pb,False,18297304421.9735,1881945689.3853095,8994642479.148294,85987000.0,0.3551957521154332,0.1387989380288583,0.3541835659717364,-0.167507814,14.497483831097675,6.283640586263066e-48,ok
BANF,2022,28510289249.463078,E_pb,False,28510289249.463078,2800640906.41849,12017366554.310244,86344000.0,0.3682938264005822,0.14207345660014556,0.3676107819512705,0.293750321,16.40018935054262,9.532146163311909e-61,ok
BANF,2023,27456935986.099808,E_pb,False,27456935986.099808,,,89452000.0,0.3924064034155798,0.14810160085389495,0.39161306698215065,0.023241259,14.495137854993487,6.502052201409757e-48,ok
BANR,2016,12954954965.325983,E_pb,False,12954954965.325983,1891481694.0509286,8629783414.90441,255101000.0,0.2401628289235117,0.11004070723087793,0.23765002477998334,0.044898351,16.67886917518526,9.336003379006157e-63,ok
BANR,2017,13213121153.52348,E_pb,False,13213121153.52348,1976271470.4119685,8887329217.53536,194769000.0,0.2398312109825277,0.10995780274563192,0.23794461185624796,0.273661317,18.815878418220166,2.7986509296725645e-79,ok
BANR,2018,13870128521.15657,E_pb,False,13870128521.15657,7344812850.055808,10740534378.247192,773275000.0,0.2067451633119174,0.10168629082797935,0.20119731376296218,0.185577543,15.439807841885571,4.418156608288628e-54,ok
