instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m
JPM,2016,0.0,0.245916939,0.247916939,1.584416123,4.864092845,1.536081163,0.60661174,81.76677549,88.33451226,79.6714931,81.52125165,43.76062582,80.25788503,80.66396463,79.53450666,77.84192763,39.46444208,14.72818355,0.198859722,1.347064622,15.2,29.05903,2.126533677,66.06575072,30.58786752,2490972.0,495354.0,2.15986782,1.0,0.0,11.422373381881938,1.6164145306204266e-30,6.268524443953681,1.8224270646950395e-10
JPM,2017,0.0,0.223383337,0.231383337,1.657157226,4.749802032,1.21089798,0.579143722,83.07976953,90.87151471,78.3867751,82.35306372,44.13705817,81.76677549,88.33451226,79.6714931,81.52125165,43.76062582,14.74515177,0.195294443,1.595215926,15.7,28.38487,2.189746346,58.56747691,38.45027708,2533600.0,494798.0,1.523200386,1.0,0.0,12.01490417822463,1.4835669164318634e-33,6.2081677939056465,2.6802949189812877e-10
JPM,2018,0.0,-0.227840396,-0.209740396,1.869559764,5.749096791,1.141126993,0.577758212,79.42625998,86.57218312,79.61549665,80.04651898,43.39404601,83.07976953,90.87151471,78.3867751,82.35306372,44.13705817,14.77965082,0.203477784,1.387652252,16.0,28.38487,2.730851781,55.92181156,41.07138674,2622532.0,533627.0,1.361575929,1.0,0.0,10.890276641482616,6.412505003278054e-28,5.877820166016488,2.0785208209471304e-09
JPM,2019,0.0,0.161745761,0.183145761,1.548870504,4.696227415,1.223973573,0.561719126,89.75067727,83.67356347,84.684426,83.90768208,43.2164673,79.42625998,86.57218312,79.61549665,80.04651898,43.39404601,14.80407693,0.192043251,1.834591094,16.6,26.62674,2.017936387,59.87430723,37.26255634,2687379.0,516093.0,1.60682232,1.0,0.0,10.173660626552165,1.299757570678085e-24,6.445351439212035,5.766642529061501e-11
JPM,2020,1.0,-0.128975754,-0.124575754,0.989987759,3.732272746,1.217916165,0.487231507,90.72326167,85.53549577,87.0453177,85.54538377,51.78431979,89.75067727,83.67356347,84.684426,83.90768208,43.2164673,15.03479267,0.160159799,1.554374754,17.3,21.07742,1.306947606,63.28385214,33.30424226,3384757.0,542102.0,1.900173907,1.0,0.0,12.565139668781462,1.6414739014344525e-36,6.314757170965303,1.3529300390345454e-10
JPM,2021,1.0,0.321116281,0.321516281,1.260066259,1.548870797,1.111852831,0.557515263,92.41564734,80.5458233,85.70191403,82.86750878,44.8912012,90.72326167,85.53549577,87.0453177,85.54538377,51.78431979,15.13554946,0.146635281,1.798016951,17.2,20.33657,1.407785494,53.79522759,43.10078694,3743567.0,548939.0,1.248126343,1.0,0.0,8.535697445024695,6.965623960610355e-18,4.699617558491552,1.3032457301217071e-06
JPM,2022,1.0,-0.014759255,-0.000559255,3.617230009,6.028440795,1.118365688,0.448489391,89.93750658,76.5931658,80.93472737,78.67279974,44.47658679,92.41564734,80.5458233,85.70191403,82.86750878,44.8912012,15.1145416,0.14799319,1.485248713,16.4,18.85095,4.457747482,62.44120952,33.9244106,3665743.0,542505.0,1.840598213,1.0,0.0,9.835564534530558,3.956129603587829e-23,4.670777017175357,1.5003126304000229e-06
JPM,2023,1.0,0.117533001,0.167033001,3.635501792,5.73092469,1.111174567,0.497966737,92.25661154,73.63736439,83.11535669,79.51238312,39.90589216,89.93750658,76.5931658,80.93472737,78.67279974,44.47658679,15.17015763,0.168517619,1.628492405,17.7,18.80043,4.397559661,58.74498167,38.73621158,3875393.0,653072.0,1.516539157,1.0,0.0,7.353921116360105,9.623767506738284e-14,4.130433825165431,1.8103965583762252e-05
BAC,2016,0.0,0.294272614,0.296272614,1.68557989,4.762380718,1.598445255,0.563856359,93.34922256,76.20075905,53.99551693,69.91846793,38.62590063,92.72934151,70.75346278,57.12465537,68.43271701,37.47722807,14.59852906,0.187863534,0.921933918,14.3,31.88739,2.361766859,69.9379706,25.9621837,2188067.0,411058.0,2.693840064,1.0,0.0,9.078653318417988,5.496323590866496e-20,5.3869006791121405,3.5841509750934085e-08
BAC,2017,0.0,0.284169939,0.292169939,1.512839951,4.784765439,1.329092417,0.618955918,94.32511457,91.14427914,48.57815996,75.38431681,41.9684742,93.34922256,76.20075905,53.99551693,69.91846793,38.62590063,14.64022708,0.191533617,1.240411104,14.8,31.375235,2.049993302,60.67678975,36.2928731,2281234.0,436933.0,1.67186515,1.0,0.0,8.031136919809068,4.828675053444068e-16,4.205528228800926,1.3023653666522135e-05
