instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,rf,F,ticker_prefix,date,Month,symbol,market_cap,equity_volatility,solver_status,equity_vol,sigma_E_method,sigma_E_window_months,sigmaE_window_end_year,sigmaE_window_start_year,E_t,F_t,rf_t,T,sigma_E_tminus1,asset_value,asset_vol,solver_cost,nfev,status_flag,d1,d2,DD_m,PD_m
ABCB,2016,0,0.36482797,0.36682797,1.954161782,8.819529648,1.360975371,1.246731645,21.15270351,39.29607554,55.73947668,39.55706507,39.55706507,18.2821119,40.15431986,66.39093137,43.81727795,43.81727795,8.838121096,0.091417755,2.355335889,10.106,31.68618,2.387100586,11.82728389,88.17271611,6892.031,630.054,0.134137684,0,0,0.002,630054000.0,ABCB,,,ABCB,3004515065.6,0.2033440081968736,converged,0.2033440081968736,monthly36,36,2015,2013,3004515065.6,630054000.0,0.002,1.0,0.2033440081968736,3633310217.069861,0.1681524908577933,0.0,8,converged,10.515642725998854,10.347490235141061,10.347490235141061,2.147999007714555e-25
ABCB,2017,0,0.236120629,0.244120629,1.822848914,7.884872134,1.1911948,1.116321358,22.15799615,41.65562543,68.93388241,45.47738788,45.47738788,21.15270351,39.29607554,55.73947668,39.55706507,39.55706507,8.96905869,0.046681839,2.232416978,13.139,31.49383,2.336282666,8.91751312,91.08248688,7856.203,366.742,0.097905903,0,0,0.008,366742000.0,ABCB,,,ABCB,3321505187.2000003,0.2422644331164355,converged,0.2422644331164355,monthly36,36,2016,2014,3321505187.2000003,366742000.0,0.008,1.0,0.2422644331164355,3685324955.712825,0.21834779328032783,0.0,5,converged,10.713610725412485,10.495262932132157,10.495262932132157,4.5412248187237224e-26
ABCB,2018,0,-0.368210621,-0.350110621,2.026303985,10.82817279,1.392523336,1.317869321,21.58687943,37.66456892,55.87830335,38.79781539,38.79781539,22.15799615,41.65562543,68.93388241,45.47738788,45.47738788,9.345178473,0.022837826,1.032942789,12.229,31.10399,3.410669159,7.59749613,92.40250387,11443.515,261.345,0.082221756,0,0,0.0181,261345000.00000003,ABCB,,,ABCB,2182408076.32,0.2442752122708268,converged,0.2442752122708268,monthly36,36,2017,2015,2182408076.32,261345000.00000003,0.0181,1.0,0.2442752122708268,2439065284.3195105,0.21857069587153752,0.0,5,converged,10.410889513924944,10.192318818053407,10.192318818053407,1.072919082186848e-24
ABCB,2019,0,0.012035141,0.033435141,1.604610381,9.426956555,1.47480426,1.350583811,20.28455285,37.26774721,52.9672079,37.55299746,37.55299746,21.58687943,37.66456892,55.87830335,38.79781539,38.79781539,9.811513646,0.084796344,1.197244334,12.94,29.85871,2.245540802,11.59273148,88.40726852,18242.579,1546.904,0.131128715,0,0,0.021400000000000002,1546904000.0,ABCB,,,ABCB,2931469515.84,0.3154915228659216,converged,0.3154915228659216,monthly36,36,2018,2016,2931469515.84,1546904000.0,0.021400000000000002,1.0,0.3154915228659216,4445621456.145569,0.2080370203081119,0.0,5,converged,5.281290101915511,5.073253081607399,5.073253081607399,1.955359126943545e-07
ABCB,2020,1,-0.210822953,-0.206422953,1.690197883,7.940022067,1.467601924,1.191658665,54.42843622,49.6656972,74.30557249,56.3975123,56.3975123,20.28455285,37.26774721,52.9672079,37.55299746,37.55299746,9.925182408,0.027454912,1.000134556,15.27,28.0153,2.564961458,24.33887537,75.66112463,20438.638,561.141,0.321682707,0,0,0.0044,561141000.0,ABCB,,,ABCB,2623437810.72,0.3220590300398134,converged,0.3220590300398134,monthly36,36,2019,2017,2623437810.72,561141000.0,0.0044,1.0,0.3220590300398134,3182115214.610087,0.2655158015821281,0.0,8,converged,6.68502030954953,6.419504507967401,6.419504507967401,6.835930406921022e-11
ABCB,2021,1,0.218588798,0.218988798,1.839579046,1.594365379,1.290137658,1.165590842,53.38414502,59.17687046,66.63859379,58.53741293,58.53741293,54.42843622,49.6656972,74.30557249,56.3975123,56.3975123,10.07988832,0.036551273,1.165765572,13.78,23.69886,2.159195174,12.28386328,87.71613672,23858.321,872.052,0.140041089,0,0,0.0004,872052000.0,ABCB,,,ABCB,3458186447.04,0.4277487200730229,converged,0.4277487200730229,monthly36,36,2020,2018,3458186447.04,872052000.0,0.0004,1.0,0.4277487200730229,4329889521.152477,0.34163358589848786,0.0,5,converged,4.862534226267948,4.52090064036946,4.52090064036946,3.0788543496269913e-06
ABCB,2022,1,0.001457267,0.015657267,3.471070286,8.601081296,1.170387689,1.041076266,54.52979497,48.36522527,63.11737065,52.17831348,52.17831348,53.38414502,59.17687046,66.63859379,58.53741293,58.53741293,10.12876028,0.079991822,1.022723781,12.9,23.69886,4.531524705,13.99982634,86.00017366,25053.286,2004.058,0.16278835,0,0,0.014199999999999999,2004058000.0,ABCB,,,ABCB,3270057017.0,0.3948476285305778,converged,0.3948476285305778,monthly36,36,2021,2019,3270057017.0,2004058000.0,0.014199999999999999,1.0,0.3948476285305778,5245851987.927162,0.24613772661884564,0.0,5,converged,4.090211792872621,3.8440740662537753,3.8440740662537753,6.050422878937197e-05
ABCB,2023,1,-0.08002404,-0.03052404,3.825582127,7.47521268,1.13540901,1.01260711,17.41491575,36.17008205,59.58580095,39.87768543,39.87768543,54.52979497,48.36522527,63.11737065,52.17831348,52.17831348,10.13474605,0.02538917,1.069025446,14.45,23.51765,5.036362748,13.68620669,86.31379331,25203.699,639.901,0.158563379,0,0,0.0495,639901000.0,ABCB,,,ABCB,3663279740.05,0.3886298423962624,converged,0.3886298423962624,monthly36,36,2022,2020,3663279740.05,639901000.0,0.0495,1.0,0.3886298423962624,4272276822.33344,0.333232114394583,0.0,6,converged,6.012657350146884,5.6794252357523005,5.6794252357523005,6.757405338634679e-09
ACNB,2019,0,0.010970998,0.032370998,1.278689517,2.538262745,0.13409182,0.118916829,20.28455285,29.06964104,49.07460469,32.08539965,32.08539965,21.58687943,7.901509952,51.83544304,22.57990843,22.57990843,7.450226652,0.057974612,1.411774934,15.64,25.44999,1.67813489,14.61557933,85.38442067,1720.253,99.731,0.171173842,0,0,0.021400000000000002,99731000.0,ACNB,,,ACNB,395838053.2662,0.1919254518593882,converged,0.1919254518593882,monthly36,36,2018,2016,395838053.2662,99731000.0,0.021400000000000002,1.0,0.1919254518593882,493457484.2386919,0.15395733100180994,0.0,5,converged,10.601713874210251,10.447756543208442,10.447756543208442,7.501611767346121e-26
ACNB,2020,1,-0.254633842,-0.250233842,0.637246828,1.529470514,0.121505256,0.09983081,18.99807322,27.05251393,60.67753951,35.26196114,35.26196114,20.28455285,29.06964104,49.07460469,32.08539965,32.08539965,7.845949176,0.036084516,0.843434212,14.91,25.44999,1.114744063,22.55444715,77.44555285,2555.362,92.209,0.291229726,0,0,0.0044,92209000.0,ACNB,,,ACNB,261659210.25000003,0.2094796144592121,converged,0.2094796144592121,monthly36,36,2019,2017,261659210.25000003,92209000.0,0.0044,1.0,0.2094796144592121,353463381.92543805,0.15507199128902419,0.0,5,converged,8.771060479887336,8.615988488598312,8.615988488598312,3.467036251457489e-18
