instrument,year,a_E,a_E_source,a_weak_E_proxy,a_E_pb,a_E_de,a_E_wacc,a_F,a_sigma_E,a_sigma_D_hat,a_sigma_V_hat,a_mu_hat,DD_a,PD_a,a_naive_status,m_covid,m_rit_rf,m_rit,m_new_wacc,"m_weighted_average_cost_of_capital,_(%)",m_beta_levered,m_beta_unlevered,m_environmental_pillar_score,m_social_pillar_score,m_governance_pillar_score,m_esg_score,m_esg_combined_score,m_environmental_pillar_score_1,m_social_pillar_score_1,m_governance_pillar_score_1,m_esg_score_1,m_esg_combined_score_1,m_lnta,m_td/ta,m_price_to_book_value_per_share,m_capital_adequacy_total_(%),"m_wacc_tax_rate,_(%)","m_wacc_cost_of_debt,_(%)","m_wacc_debt_weight,_(%)","m_wacc_equity_weight,_(%)",m_total_assets,m_debt_total,m_d/e,m_dummylarge,m_dummymid,m_rf,m_F,m_ticker_prefix,m_date,m_Month,m_symbol,m_market_cap,m_equity_volatility,m_solver_status,m_equity_vol,m_sigma_E_method,m_sigma_E_window_months,m_sigmaE_window_end_year,m_sigmaE_window_start_year,m_E_t,m_F_t,m_rf_t,m_T,m_sigma_E_tminus1,m_asset_value,m_asset_vol,m_solver_cost,m_nfev,m_status_flag,m_d1,m_d2,DD_m,PD_m
ABCB,2016,14749059164.192553,E_pb,False,14749059164.192553,4697069318.715835,6076890927.843194,630054000.0,0.2033440081968736,0.1008360020492184,0.1991444435915665,0.044898351,16.16931453367851,4.150843052470977e-59,ok,0.0,0.36482797,0.36682797,1.954161782,8.819529648,1.360975371,1.246731645,21.15270351,39.29607554,55.73947668,39.55706507,39.55706507,18.2821119,40.15431986,66.39093137,43.81727795,43.81727795,8.838121096,0.091417755,2.355335889,10.106,31.68618,2.387100586,11.82728389,88.17271611,6892.031,630.054,0.134137684,0.0,0.0,0.002,630054000.0,ABCB,,,ABCB,3004515065.6,0.2033440081968736,converged,0.2033440081968736,monthly36,36.0,2015.0,2013.0,3004515065.6,630054000.0,0.002,1.0,0.2033440081968736,3633310217.069861,0.1681524908577933,0.0,8.0,converged,10.515642725998854,10.34749023514106,10.34749023514106,2.147999007714555e-25
ABCB,2017,16719599892.468857,E_pb,False,16719599892.468857,3745861983.418916,7155625066.741166,366742000.0,0.2422644331164355,0.1105661082791088,0.2394376544325336,0.36682797,17.45564574949596,1.5591564996263636e-68,ok,0.0,0.236120629,0.244120629,1.822848914,7.884872134,1.1911948,1.116321358,22.15799615,41.65562543,68.93388241,45.47738788,45.47738788,21.15270351,39.29607554,55.73947668,39.55706507,39.55706507,8.96905869,0.046681839,2.232416978,13.139,31.49383,2.336282666,8.91751312,91.08248688,7856.203,366.742,0.097905903,0.0,0.0,0.008,366742000.0,ABCB,,,ABCB,3321505187.2000003,0.2422644331164355,converged,0.2422644331164355,monthly36,36.0,2016.0,2014.0,3321505187.2000003,366742000.0,0.008,1.0,0.2422644331164355,3685324955.712825,0.2183477932803278,0.0,5.0,converged,10.713610725412485,10.495262932132157,10.495262932132157,4.5412248187237224e-26
ABCB,2018,11550541866.87213,E_pb,False,11550541866.87213,3178538293.441459,10574094390.73903,261345000.00000003,0.2442752122708268,0.1110688030677067,0.2413279414913524,0.244120629,16.68278156234116,8.744137906879431e-63,ok,0.0,-0.368210621,-0.350110621,2.026303985,10.82817279,1.392523336,1.317869321,21.58687943,37.66456892,55.87830335,38.79781539,38.79781539,22.15799615,41.65562543,68.93388241,45.47738788,45.47738788,9.345178473,0.022837826,1.032942789,12.229,31.10399,3.410669159,7.59749613,92.40250387,11443.515,261.345,0.082221756,0.0,0.0,0.0181,261345000.00000003,ABCB,,,ABCB,2182408076.32,0.2442752122708268,converged,0.2442752122708268,monthly36,36.0,2017.0,2015.0,2182408076.32,261345000.00000003,0.0181,1.0,0.2442752122708268,2439065284.3195105,0.2185706958715375,0.0,5.0,converged,10.410889513924944,10.192318818053408,10.192318818053408,1.072919082186848e-24
ABCB,2019,19988802296.055454,E_pb,False,19988802296.055454,11796836413.748123,16127765801.503132,1546904000.0,0.3154915228659216,0.1288728807164804,0.3020867559153055,-0.350110621,7.407534202061719,6.433465381800759e-14,ok,0.0,0.012035141,0.033435141,1.604610381,9.426956555,1.47480426,1.350583811,20.28455285,37.26774721,52.9672079,37.55299746,37.55299746,21.58687943,37.66456892,55.87830335,38.79781539,38.79781539,9.811513646,0.084796344,1.197244334,12.94,29.85871,2.245540802,11.59273148,88.40726852,18242.579,1546.904,0.131128715,0.0,0.0,0.0214,1546904000.0,ABCB,,,ABCB,2931469515.84,0.3154915228659216,converged,0.3154915228659216,monthly36,36.0,2018.0,2016.0,2931469515.84,1546904000.0,0.0214,1.0,0.3154915228659216,4445621456.145569,0.2080370203081119,0.0,5.0,converged,5.281290101915511,5.073253081607399,5.073253081607399,1.955359126943545e-07
ABCB,2020,19880171636.48633,E_pb,False,19880171636.48633,1744392806.2940605,15464103369.85454,561141000.0,0.3220590300398134,0.1305147575099533,0.3168008870554031,0.033435141,11.296037784689736,6.863643147297915e-30,ok,1.0,-0.210822953,-0.206422953,1.690197883,7.940022067,1.467601924,1.191658665,54.42843622,49.6656972,74.30557249,56.3975123,56.3975123,20.28455285,37.26774721,52.9672079,37.55299746,37.55299746,9.925182408,0.027454912,1.000134556,15.27,28.0153,2.564961458,24.33887537,75.66112463,20438.638,561.141,0.321682707,0.0,0.0,0.0044,561141000.0,ABCB,,,ABCB,2623437810.72,0.3220590300398134,converged,0.3220590300398134,monthly36,36.0,2019.0,2017.0,2623437810.72,561141000.0,0.0044,1.0,0.3220590300398134,3182115214.610087,0.2655158015821281,0.0,8.0,converged,6.68502030954953,6.419504507967401,6.419504507967401,6.835930406921021e-11
ABCB,2021,26796601028.930862,E_pb,False,26796601028.930862,6227115243.298344,20927597467.45647,872052000.0,0.4277487200730229,0.1569371800182557,0.4192133661878552,-0.206422953,7.544877419267856,2.2635655749968272e-14,ok,1.0,0.218588798,0.218988798,1.839579046,1.594365379,1.290137658,1.165590842,53.38414502,59.17687046,66.63859379,58.53741293,58.53741293,54.42843622,49.6656972,74.30557249,56.3975123,56.3975123,10.07988832,0.036551273,1.165765572,13.78,23.69886,2.159195174,12.28386328,87.71613672,23858.321,872.052,0.140041089,0.0,0.0,0.0004,872052000.0,ABCB,,,ABCB,3458186447.04,0.4277487200730229,converged,0.4277487200730229,monthly36,36.0,2020.0,2018.0,3458186447.04,872052000.0,0.0004,1.0,0.4277487200730229,4329889521.152477,0.3416335858984878,0.0,5.0,converged,4.862534226267948,4.52090064036946,4.52090064036946,3.0788543496269913e-06
ABCB,2022,23572993609.29107,E_pb,False,23572993609.29107,12310819539.604649,21545869467.53647,2004058000.0,0.3948476285305778,0.1487119071326444,0.375561970860242,0.218988798,7.175877786232278,3.5922356619144413e-13,ok,1.0,0.001457267,0.015657267,3.471070286,8.601081296,1.170387689,1.041076266,54.52979497,48.36522527,63.11737065,52.17831348,52.17831348,53.38414502,59.17687046,66.63859379,58.53741293,58.53741293,10.12876028,0.079991822,1.022723781,12.9,23.69886,4.531524705,13.99982634,86.00017366,25053.286,2004.058,0.16278835,0.0,0.0,0.0141999999999999,2004058000.0,ABCB,,,ABCB,3270057017.0,0.3948476285305778,converged,0.3948476285305778,monthly36,36.0,2021.0,2019.0,3270057017.0,2004058000.0,0.0141999999999999,1.0,0.3948476285305778,5245851987.927162,0.2461377266188456,0.0,5.0,converged,4.090211792872621,3.8440740662537753,3.8440740662537753,6.050422878937197e-05
ABCB,2023,26259325112.403908,E_pb,False,26259325112.403908,4035616571.970253,21754268661.334538,639901000.0,0.3886298423962624,0.1471574605990656,0.3828854980073673,0.015657267,9.61356842475424,3.5038668838292095e-22,ok,1.0,-0.08002404,-0.03052404,3.825582127,7.47521268,1.13540901,1.01260711,17.41491575,36.17008205,59.58580095,39.87768543,39.87768543,54.52979497,48.36522527,63.11737065,52.17831348,52.17831348,10.13474605,0.02538917,1.069025446,14.45,23.51765,5.036362748,13.68620669,86.31379331,25203.699,639.901,0.158563379,0.0,0.0,0.0495,639901000.0,ABCB,,,ABCB,3663279740.05,0.3886298423962624,converged,0.3886298423962624,monthly36,36.0,2022.0,2020.0,3663279740.05,639901000.0,0.0495,1.0,0.3886298423962624,4272276822.33344,0.333232114394583,0.0,6.0,converged,6.012657350146884,5.6794252357523005,5.6794252357523005,6.757405338634679e-09
ACNB,2019,2287812339.595548,E_pb,False,2287812339.595548,582629909.0722051,1468828058.108295,99731000.0,0.1919254518593882,0.097981362964847,0.1880012768405889,0.044898351,17.035893735618433,2.224463711410317e-65,ok,0.0,0.010970998,0.032370998,1.278689517,2.538262745,0.13409182,0.118916829,20.28455285,29.06964104,49.07460469,32.08539965,32.08539965,21.58687943,7.901509952,51.83544304,22.57990843,22.57990843,7.450226652,0.057974612,1.411774934,15.64,25.44999,1.67813489,14.61557933,85.38442067,1720.253,99.731,0.171173842,0.0,0.0,0.0214,99731000.0,ACNB,,,ACNB,395838053.2662,0.1919254518593882,converged,0.1919254518593882,monthly36,36.0,2018.0,2016.0,395838053.2662,99731000.0,0.0214,1.0,0.1919254518593882,493457484.2386919,0.1539573310018099,0.0,5.0,converged,10.601713874210253,10.447756543208442,10.447756543208442,7.501611767346121e-26
ACNB,2020,2077507509.5904365,E_pb,False,2077507509.5904365,316619464.86877507,1979014228.218817,92209000.0,0.2094796144592121,0.102369903614803,0.2049276468249166,0.032370998,15.467251171182864,2.885981244260445e-54,ok,1.0,-0.254633842,-0.250233842,0.637246828,1.529470514,0.121505256,0.09983081,18.99807322,27.05251393,60.67753951,35.26196114,35.26196114,20.28455285,29.06964104,49.07460469,32.08539965,32.08539965,7.845949176,0.036084516,0.843434212,14.91,25.44999,1.114744063,22.55444715,77.44555285,2555.362,92.209,0.291229726,0.0,0.0,0.0044,92209000.0,ACNB,,,ACNB,261659210.25000003,0.2094796144592121,converged,0.2094796144592121,monthly36,36.0,2019.0,2017.0,261659210.25000003,92209000.0,0.0044,1.0,0.2094796144592121,353463381.92543805,0.1550719912890241,0.0,5.0,converged,8.771060479887336,8.615988488598312,8.615988488598312,3.4670362514574892e-18
